gene_id	symbol	population	n_private_rare	n_high_rare	n_low_rare	n_total_variants	rare_burden_pct	froh	froh_z
HMCN2	HMCN2	MSL	2	0	2	560	0.36	0.0166	-0.873
HSPG2	HSPG2	ACB	2	0	0	431	0.46	0.0154	-0.983
HSPG2	HSPG2	CDX	2	0	0	431	0.46	0.0276	0.218
HSPG2	HSPG2	CHB	2	0	1	431	0.46	0.0172	-0.814
HSPG2	HSPG2	GIH	2	0	1	431	0.46	0.0235	-0.186
HSPG2	HSPG2	ITU	2	0	1	431	0.46	0.0384	1.295
HSPG2	HSPG2	MSL	2	0	0	431	0.46	0.0166	-0.873
HSPG2	HSPG2	TSI	2	0	1	431	0.46	0.0181	-0.723
HYDIN	HYDIN	ACB	2	0	0	316	0.63	0.0154	-0.983
HYDIN	HYDIN	PEL	2	0	1	316	0.63	0.0314	0.594
HYDIN	HYDIN	TSI	2	0	1	316	0.63	0.0181	-0.723
LAMA5	LAMA5	JPT	2	0	0	493	0.41	0.0219	-0.344
LAMA5	LAMA5	LWK	2	0	1	493	0.41	0.0191	-0.618
LAMA5	LAMA5	MSL	2	0	1	493	0.41	0.0166	-0.873
LAMA5	LAMA5	PJL	2	0	1	493	0.41	0.0571	3.145
LAMA5	LAMA5	TSI	2	0	1	493	0.41	0.0181	-0.723
LOC400499	LOC400499	ITU	2	0	1	526	0.38	0.0384	1.295
MACF1	MACF1	ASW	2	0	0	388	0.52	0.0161	-0.919
MACF1	MACF1	FIN	2	0	0	388	0.52	0.0234	-0.193
MACF1	MACF1	GBR	2	0	2	388	0.52	0.0223	-0.306
MACF1	MACF1	JPT	2	0	0	388	0.52	0.0219	-0.344
MUC12	MUC12	CDX	2	0	1	634	0.32	0.0276	0.218
MUC12	MUC12	ITU	2	0	1	634	0.32	0.0384	1.295
MUC12	MUC12	JPT	2	0	0	634	0.32	0.0219	-0.344
MUC12	MUC12	MXL	2	0	1	634	0.32	0.0255	0.015
MUC16	MUC16	TSI	2	0	0	1197	0.17	0.0181	-0.723
MUC17	MUC17	FIN	2	0	0	668	0.3	0.0234	-0.193
MUC17	MUC17	ITU	2	0	0	668	0.3	0.0384	1.295
MUC17	MUC17	JPT	2	0	0	668	0.3	0.0219	-0.344
MUC17	MUC17	TSI	2	0	2	668	0.3	0.0181	-0.723
MUC19	MUC19	CHB	2	0	1	958	0.21	0.0172	-0.814
MUC19	MUC19	MXL	2	1	1	958	0.21	0.0255	0.015
MUC4	MUC4	BEB	2	0	1	1816	0.11	0.0275	0.215
MUC4	MUC4	CHB	2	0	1	1816	0.11	0.0172	-0.814
MUC4	MUC4	ITU	2	0	1	1816	0.11	0.0384	1.295
MUC4	MUC4	MSL	2	0	0	1816	0.11	0.0166	-0.873
MUC5AC	MUC5AC	CDX	2	0	1	693	0.29	0.0276	0.218
MUC5B	MUC5B	CDX	2	0	2	922	0.22	0.0276	0.218
MUC5B	MUC5B	ITU	2	0	2	922	0.22	0.0384	1.295
MUC5B	MUC5B	STU	2	0	0	922	0.22	0.0494	2.379
MUC5B	MUC5B	TSI	2	0	1	922	0.22	0.0181	-0.723
MYO15B	MYO15B	BEB	2	0	0	428	0.47	0.0275	0.215
MYO15B	MYO15B	GIH	2	0	1	428	0.47	0.0235	-0.186
NEB	NEB	ASW	2	0	2	498	0.4	0.0161	-0.919
NEB	NEB	CDX	2	0	0	498	0.4	0.0276	0.218
NEB	NEB	LWK	2	0	2	498	0.4	0.0191	-0.618
NEB	NEB	MSL	2	0	1	498	0.4	0.0166	-0.873
OBSCN	OBSCN	FIN	2	0	1	906	0.22	0.0234	-0.193
PDE1C	PDE1C	ACB	2	0	2	362	0.55	0.0154	-0.983
PDE1C	PDE1C	MSL	2	0	2	362	0.55	0.0166	-0.873
PIEZO1	PIEZO1	LWK	2	0	0	388	0.52	0.0191	-0.618
PKD1	PKD1	CHB	2	0	2	606	0.33	0.0172	-0.814
PLEC	PLEC	MSL	2	0	1	672	0.3	0.0166	-0.873
RNF213	RNF213	GBR	2	0	1	415	0.48	0.0223	-0.306
RNF213	RNF213	GIH	2	0	1	415	0.48	0.0235	-0.186
RNF213	RNF213	JPT	2	0	0	415	0.48	0.0219	-0.344
RNF213	RNF213	MXL	2	1	0	415	0.48	0.0255	0.015
RNF213	RNF213	PUR	2	0	0	415	0.48	0.028	0.264
RYR1	RYR1	GBR	2	0	1	339	0.59	0.0223	-0.306
RYR1	RYR1	IBS	2	0	0	339	0.59	0.0205	-0.48
RYR1	RYR1	PUR	2	0	1	339	0.59	0.028	0.264
SETBP1	SETBP1	CDX	2	0	2	483	0.41	0.0276	0.218
SETBP1	SETBP1	TSI	2	0	2	483	0.41	0.0181	-0.723
SPTBN5	SPTBN5	KHV	2	0	1	381	0.52	0.0189	-0.64
SPTBN5	SPTBN5	TSI	2	1	0	381	0.52	0.0181	-0.723
STARD9	STARD9	CHB	2	0	0	320	0.62	0.0172	-0.814
STARD9	STARD9	FIN	2	0	1	320	0.62	0.0234	-0.193
STARD9	STARD9	GIH	2	0	0	320	0.62	0.0235	-0.186
STARD9	STARD9	ITU	2	0	1	320	0.62	0.0384	1.295
STARD9	STARD9	JPT	2	0	0	320	0.62	0.0219	-0.344
SYNE1	SYNE1	CDX	2	0	1	484	0.41	0.0276	0.218
SYNE1	SYNE1	ITU	2	0	0	484	0.41	0.0384	1.295
SYNE1	SYNE1	JPT	2	0	2	484	0.41	0.0219	-0.344
SYNE2	SYNE2	CHB	2	0	2	471	0.42	0.0172	-0.814
SYNE2	SYNE2	FIN	2	0	1	471	0.42	0.0234	-0.193
SYNE2	SYNE2	GIH	2	0	0	471	0.42	0.0235	-0.186
SYNE2	SYNE2	TSI	2	0	0	471	0.42	0.0181	-0.723
TRIO	TRIO	TSI	2	0	2	396	0.51	0.0181	-0.723
ZNF469	ZNF469	ASW	2	0	0	379	0.53	0.0161	-0.919
ABCA13	ABCA13	CHB	1	0	0	344	0.29	0.0172	-0.814
ABCA13	ABCA13	GBR	1	0	0	344	0.29	0.0223	-0.306
ABCA13	ABCA13	TSI	1	0	0	344	0.29	0.0181	-0.723
ADGRV1	ADGRV1	ACB	1	0	0	357	0.28	0.0154	-0.983
ADGRV1	ADGRV1	CHB	1	0	0	357	0.28	0.0172	-0.814
ADGRV1	ADGRV1	ITU	1	0	0	357	0.28	0.0384	1.295
ADGRV1	ADGRV1	TSI	1	0	0	357	0.28	0.0181	-0.723
AHNAK2	AHNAK2	CHB	1	0	0	1533	0.07	0.0172	-0.814
AHNAK2	AHNAK2	GIH	1	0	1	1533	0.07	0.0235	-0.186
CACNA1H	CACNA1H	ASW	1	0	1	422	0.24	0.0161	-0.919
CDH23	CDH23	FIN	1	0	1	315	0.32	0.0234	-0.193
CDH23	CDH23	GIH	1	0	1	315	0.32	0.0235	-0.186
CDH23	CDH23	KHV	1	0	1	315	0.32	0.0189	-0.64
CHD6	CHD6	GBR	1	0	1	325	0.31	0.0223	-0.306
CHD6	CHD6	GIH	1	0	1	325	0.31	0.0235	-0.186
CHD6	CHD6	PUR	1	0	1	325	0.31	0.028	0.264
CHD6	CHD6	TSI	1	0	1	325	0.31	0.0181	-0.723
CNTN4	CNTN4	CHB	1	0	1	495	0.2	0.0172	-0.814
CNTN4	CNTN4	GBR	1	0	0	495	0.2	0.0223	-0.306
CNTN4	CNTN4	STU	1	0	0	495	0.2	0.0494	2.379
CNTN4	CNTN4	TSI	1	0	1	495	0.2	0.0181	-0.723
CSMD1	CSMD1	ACB	1	0	1	316	0.32	0.0154	-0.983
CSMD1	CSMD1	ASW	1	0	0	316	0.32	0.0161	-0.919
CSMD1	CSMD1	ITU	1	0	0	316	0.32	0.0384	1.295
DNAH1	DNAH1	CEU	1	0	1	318	0.31	0.0169	-0.843
DNAH1	DNAH1	FIN	1	0	0	318	0.31	0.0234	-0.193
DNAH1	DNAH1	GIH	1	1	0	318	0.31	0.0235	-0.186
DNAH10	DNAH10	CLM	1	0	0	327	0.31	0.0338	0.838
DNAH10	DNAH10	GIH	1	0	0	327	0.31	0.0235	-0.186
DNAH10	DNAH10	MSL	1	0	0	327	0.31	0.0166	-0.873
DNAH10	DNAH10	TSI	1	0	0	327	0.31	0.0181	-0.723
DNAH11	DNAH11	CHB	1	0	1	352	0.28	0.0172	-0.814
DNAH11	DNAH11	GBR	1	0	0	352	0.28	0.0223	-0.306
DNAH11	DNAH11	TSI	1	0	0	352	0.28	0.0181	-0.723
DNAH14	DNAH14	CDX	1	0	0	339	0.29	0.0276	0.218
DNAH14	DNAH14	FIN	1	0	0	339	0.29	0.0234	-0.193
DNAH17	DNAH17	GBR	1	0	0	524	0.19	0.0223	-0.306
DNAH17	DNAH17	TSI	1	0	0	524	0.19	0.0181	-0.723
DST	DST	CHB	1	0	1	422	0.24	0.0172	-0.814
DST	DST	GIH	1	0	0	422	0.24	0.0235	-0.186
EPPK1	EPPK1	CDX	1	0	1	448	0.22	0.0276	0.218
FCGBP	FCGBP	CDX	1	0	1	454	0.22	0.0276	0.218
FCGBP	FCGBP	CHB	1	0	0	454	0.22	0.0172	-0.814
FLG	FLG	GBR	1	0	0	783	0.13	0.0223	-0.306
HIVEP2	HIVEP2	ASW	1	0	1	394	0.25	0.0161	-0.919
HMCN2	HMCN2	FIN	1	0	0	560	0.18	0.0234	-0.193
HMCN2	HMCN2	ITU	1	0	0	560	0.18	0.0384	1.295
HYDIN	HYDIN	CDX	1	0	0	316	0.32	0.0276	0.218
HYDIN	HYDIN	CHB	1	0	0	316	0.32	0.0172	-0.814
HYDIN	HYDIN	FIN	1	0	1	316	0.32	0.0234	-0.193
HYDIN	HYDIN	GIH	1	0	0	316	0.32	0.0235	-0.186
HYDIN	HYDIN	STU	1	0	0	316	0.32	0.0494	2.379
LAMA5	LAMA5	CHB	1	0	1	493	0.2	0.0172	-0.814
LOC400499	LOC400499	CHB	1	0	1	526	0.19	0.0172	-0.814
LOC400499	LOC400499	FIN	1	0	1	526	0.19	0.0234	-0.193
LOC400499	LOC400499	GBR	1	0	1	526	0.19	0.0223	-0.306
LOC400499	LOC400499	TSI	1	0	1	526	0.19	0.0181	-0.723
MACF1	MACF1	TSI	1	0	1	388	0.26	0.0181	-0.723
MUC12	MUC12	CHB	1	0	1	634	0.16	0.0172	-0.814
MUC12	MUC12	FIN	1	0	0	634	0.16	0.0234	-0.193
MUC12	MUC12	PUR	1	0	0	634	0.16	0.028	0.264
MUC16	MUC16	CHB	1	0	1	1197	0.08	0.0172	-0.814
MUC17	MUC17	ASW	1	0	0	668	0.15	0.0161	-0.919
MUC17	MUC17	GBR	1	0	0	668	0.15	0.0223	-0.306
MUC19	MUC19	GIH	1	0	0	958	0.1	0.0235	-0.186
MUC4	MUC4	GBR	1	0	0	1816	0.06	0.0223	-0.306
MUC4	MUC4	GIH	1	0	1	1816	0.06	0.0235	-0.186
MUC4	MUC4	IBS	1	0	0	1816	0.06	0.0205	-0.48
MUC4	MUC4	MXL	1	0	0	1816	0.06	0.0255	0.015
MUC5AC	MUC5AC	CHB	1	0	1	693	0.14	0.0172	-0.814
MUC5AC	MUC5AC	GIH	1	0	1	693	0.14	0.0235	-0.186
MUC5AC	MUC5AC	JPT	1	0	0	693	0.14	0.0219	-0.344
MUC5B	MUC5B	GBR	1	0	1	922	0.11	0.0223	-0.306
MUC5B	MUC5B	MXL	1	0	0	922	0.11	0.0255	0.015
MYO15B	MYO15B	ASW	1	0	0	428	0.23	0.0161	-0.919
MYO15B	MYO15B	CHB	1	0	0	428	0.23	0.0172	-0.814
NEB	NEB	ACB	1	0	1	498	0.2	0.0154	-0.983
NEB	NEB	CHB	1	0	0	498	0.2	0.0172	-0.814
NEB	NEB	GBR	1	0	0	498	0.2	0.0223	-0.306
NEB	NEB	TSI	1	0	0	498	0.2	0.0181	-0.723
OBSCN	OBSCN	GBR	1	0	0	906	0.11	0.0223	-0.306
OBSCN	OBSCN	TSI	1	0	0	906	0.11	0.0181	-0.723
PDE1C	PDE1C	FIN	1	0	1	362	0.28	0.0234	-0.193
PDE1C	PDE1C	GIH	1	0	1	362	0.28	0.0235	-0.186
PDE1C	PDE1C	ITU	1	0	1	362	0.28	0.0384	1.295
PDE1C	PDE1C	JPT	1	0	1	362	0.28	0.0219	-0.344
PIEZO1	PIEZO1	CDX	1	0	1	388	0.26	0.0276	0.218
PIEZO1	PIEZO1	CHB	1	0	1	388	0.26	0.0172	-0.814
PIEZO1	PIEZO1	ITU	1	0	1	388	0.26	0.0384	1.295
PIEZO1	PIEZO1	MSL	1	0	0	388	0.26	0.0166	-0.873
PKD1	PKD1	ASW	1	0	0	606	0.17	0.0161	-0.919
PKD1	PKD1	GBR	1	0	0	606	0.17	0.0223	-0.306
PKD1	PKD1	TSI	1	0	1	606	0.17	0.0181	-0.723
PLEC	PLEC	GBR	1	0	0	672	0.15	0.0223	-0.306
RNF213	RNF213	ACB	1	0	0	415	0.24	0.0154	-0.983
RNF213	RNF213	CHB	1	0	0	415	0.24	0.0172	-0.814
RNF213	RNF213	ESN	1	0	1	415	0.24	0.0245	-0.082
RNF213	RNF213	MSL	1	0	1	415	0.24	0.0166	-0.873
RYR1	RYR1	ACB	1	0	0	339	0.29	0.0154	-0.983
RYR1	RYR1	CHB	1	0	0	339	0.29	0.0172	-0.814
RYR1	RYR1	FIN	1	0	1	339	0.29	0.0234	-0.193
RYR1	RYR1	MSL	1	0	1	339	0.29	0.0166	-0.873
SETBP1	SETBP1	ASW	1	0	0	483	0.21	0.0161	-0.919
SETBP1	SETBP1	FIN	1	0	1	483	0.21	0.0234	-0.193
SPTBN5	SPTBN5	CDX	1	0	0	381	0.26	0.0276	0.218
SPTBN5	SPTBN5	GBR	1	0	1	381	0.26	0.0223	-0.306
SPTBN5	SPTBN5	GIH	1	0	0	381	0.26	0.0235	-0.186
STARD9	STARD9	ASW	1	0	1	320	0.31	0.0161	-0.919
STARD9	STARD9	CDX	1	0	0	320	0.31	0.0276	0.218
STARD9	STARD9	GBR	1	0	1	320	0.31	0.0223	-0.306
STARD9	STARD9	TSI	1	0	0	320	0.31	0.0181	-0.723
SYNE1	SYNE1	ASW	1	0	0	484	0.21	0.0161	-0.919
SYNE1	SYNE1	CHB	1	0	0	484	0.21	0.0172	-0.814
SYNE1	SYNE1	TSI	1	0	1	484	0.21	0.0181	-0.723
TRIO	TRIO	CHB	1	0	0	396	0.25	0.0172	-0.814
TRIO	TRIO	GBR	1	0	1	396	0.25	0.0223	-0.306
ZNF469	ZNF469	CHB	1	0	0	379	0.26	0.0172	-0.814
ZNF469	ZNF469	FIN	1	0	0	379	0.26	0.0234	-0.193
ZNF469	ZNF469	GBR	1	0	0	379	0.26	0.0223	-0.306
