sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG01967	PEL	American	0.012153	24	0.036985	1304	10	-1.5383	0.4785	-0.9043	8.9504	3.2822	0.4264	-1.0655	-0.2176
HG01968	PEL	American	0.029486	57	0.02766	782	9	-4.2556	2.9867	-0.1866	6.2746	2.1926	2.354	-1.2764	-1.7941
HG01969	UNKNOWN		0.01559	31	0.03442	1141	5	-2.4251	0.824	-1.0803	7.8773	2.9393	0.8685	-1.4526	-0.5936
HG01970	PEL	American	0.091831	56	0.032645	897	9	-5.1956	6.7407	-0.8737	3.5194	3.1585	4.141	-1.245	-4.053
HG01971	PEL	American	0.009806	20	0.041203	1705	16	-0.4721	0.5209	-0.867	9.7212	6.9253	-0.0345	-0.5451	0.2576
HG01972	UNKNOWN		0.006671	10	0.038651	1629	12	-0.5214	-0.497	-0.8828	12.4488	8.0257	-0.1643	-0.8399	0.1673
HG01973	PEL	American	0.010987	22	0.027133	816	5	-2.8293	-0.3352	-0.2614	10.4509	3.5947	1.0435	-1.5412	-1.0395
HG01974	PEL	American	0.013718	27	0.027586	833	12	-2.6704	0.3504	0.2395	8.8536	3.5523	1.2071	-1.0569	-1.1177
HG01975	UNKNOWN		0.01113	22	0.025663	888	7	-2.8395	-0.3095	0.0317	10.4145	3.6537	1.1526	-1.3845	-1.1759
HG01976	PEL	American	0.006221	13	0.025288	755	13	-2.2045	-1.0075	0.6435	16.8566	9.291	0.8273	-1.0097	-0.9965
HG01977	PEL	American	0.007821	15	0.03047	884	7	-2.0675	-0.7431	-0.3906	12.8088	4.7549	0.5561	-1.3856	-0.6069
HG01978	UNKNOWN		0.004123	9	0.027964	861	9	-1.9163	-1.3631	0.0587	16.7268	9.2932	0.4843	-1.2548	-0.6687
HG01979	PEL	American	0.008807	19	0.031012	899	18	-1.6256	-0.0997	0.4422	9.5103	5.2758	0.6326	-0.6278	-0.6016
HG01980	PEL	American	0.00557	12	0.031525	927	15	-1.3934	-0.7732	0.1803	12.7517	6.1359	0.3427	-0.8257	-0.4159
HG01981	UNKNOWN		0.007046	13	0.030246	896	12	-1.7465	-0.7698	0.053	12.5945	5.7256	0.5047	-1.0397	-0.5931
HG01982	PEL	American	0.005617	13	0.031655	1364	17	-1.1252	-0.5535	0.2457	11.6851	6.5515	0.3554	-0.5696	-0.4065
HG01983	UNKNOWN		0.003042	6	0.037763	1248	18	-0.2483	-0.8899	-0.2006	11.6507	10.3766	-0.3079	-0.5327	0.2458
