sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG00096	GBR	European	0.009785	16	0.029033	1201	12	-1.8959	-0.4108	0.0907	10.8243	4.4905	0.7461	-0.9566	-0.8192
HG00097	GBR	European	0.008802	18	0.033249	1138	13	-1.5241	-0.1698	-0.2277	10.8584	4.7023	0.4538	-0.9052	-0.4033
HG00099	GBR	European	0.008607	17	0.035038	1195	16	-1.1425	-0.0742	-0.1583	10.5638	5.6276	0.3001	-0.6841	-0.2364
HG00100	GBR	European	0.00991	19	0.034448	1156	10	-1.6141	-0.0828	-0.6024	11.0311	3.8	0.4274	-1.1059	-0.3451
HG00101	GBR	European	0.012979	24	0.036041	1110	9	-1.7819	0.4198	-0.8615	9.2024	3.3118	0.5219	-1.1869	-0.337
HG00102	GBR	European	0.015004	27	0.036806	1194	21	-1.2292	1.1148	0.0206	7.5612	4.4116	0.5985	-0.3418	-0.357
HG00103	GBR	European	0.011402	19	0.035983	1123	12	-1.4208	0.113	-0.5837	10.2554	4.3295	0.3704	-0.9778	-0.2738
HG00105	GBR	European	0.009314	18	0.033974	1134	13	-1.4701	-0.1135	-0.2984	10.7851	4.6408	0.4201	-0.9063	-0.3612
HG00106	GBR	European	0.006114	13	0.032285	1148	11	-1.4715	-0.7213	-0.2713	12.8518	5.2949	0.328	-1.0395	-0.3723
HG00107	GBR	European	0.012964	25	0.03559	1114	21	-1.2601	0.8122	0.1681	7.8441	4.6507	0.5735	-0.3636	-0.3762
HG00108	GBR	European	0.012575	26	0.030743	1109	8	-2.3892	0.2866	-0.4401	10.1313	3.2406	0.9236	-1.2557	-0.7886
HG00109	GBR	European	0.009354	18	0.035228	1181	16	-1.1834	0.0339	-0.1807	10.3967	5.504	0.3327	-0.688	-0.2519
HG00110	GBR	European	0.035049	25	0.036101	1223	25	-1.4942	2.2465	0.3618	6.4226	4.1509	1.3026	-0.0599	-1.2876
HG00111	GBR	European	0.019919	26	0.033988	1009	15	-1.9565	1.0166	-0.1784	7.9072	3.6545	0.9482	-0.8034	-0.8193
HG00112	GBR	European	0.018912	23	0.034312	1239	17	-1.5969	0.8959	-0.0717	8.067	4.0497	0.8297	-0.6036	-0.747
HG00113	GBR	European	0.009449	19	0.033846	1286	13	-1.4532	-0.0175	-0.3197	10.5782	4.3918	0.4541	-0.8649	-0.3785
HG00114	GBR	European	0.018285	22	0.033321	1180	17	-1.6662	0.7486	0.0415	8.3289	4.1596	0.8581	-0.6197	-0.8077
HG00115	GBR	European	0.005799	12	0.034574	1184	12	-1.1487	-0.6762	-0.4112	13.1178	6.9431	0.1347	-0.9612	-0.1559
HG00116	GBR	European	0.009167	19	0.031808	1185	13	-1.6822	-0.1329	-0.103	10.713	4.2731	0.5887	-0.8924	-0.5467
HG00117	GBR	European	0.03989	46	0.024877	1002	17	-3.889	3.0931	0.7187	5.5323	3.4625	2.6895	-0.6682	-2.4911
HG00118	GBR	European	0.008403	16	0.03482	1152	5	-1.6892	-0.484	-1.0327	12.0572	4.2426	0.2883	-1.4496	-0.2469
HG00119	GBR	European	0.0097	19	0.034468	1259	13	-1.4127	0.015	-0.3754	10.5557	4.3703	0.4187	-0.8723	-0.3342
HG00120	GBR	European	0.012028	23	0.029289	1053	10	-2.3335	0.0637	-0.109	10.2917	3.3951	0.947	-1.134	-0.8936
HG00121	GBR	European	0.016841	24	0.032238	1132	16	-1.8736	0.706	0.068	8.4787	3.9949	0.9251	-0.7013	-0.841
HG00122	GBR	European	0.003541	8	0.038132	1171	21	-0.1798	-0.6548	0.0158	11.242	10.0203	-0.2764	-0.3481	0.257
HG00123	GBR	European	0.009249	19	0.032046	1181	20	-1.3155	0.0835	0.4528	9.1396	5.613	0.5747	-0.4139	-0.5292
HG00125	GBR	European	0.010663	15	0.032482	1100	16	-1.404	-0.1945	0.1091	10.7735	5.7425	0.512	-0.71	-0.5518
HG00126	GBR	European	0.006314	12	0.029647	1103	8	-1.8582	-0.9678	-0.2521	13.1091	5.0121	0.5016	-1.2574	-0.6145
HG00127	GBR	European	0.015517	21	0.033228	1167	12	-1.8282	0.3764	-0.3473	9.4782	3.5451	0.7486	-0.9659	-0.696
HG00128	GBR	European	0.009295	19	0.034142	1179	14	-1.4191	-0.0088	-0.2449	10.5013	4.569	0.4278	-0.8255	-0.3456
HG00129	GBR	European	0.010185	17	0.033427	1108	16	-1.3699	-0.063	0.009	10.7383	5.3993	0.4689	-0.7079	-0.4475
HG00130	GBR	European	0.006394	13	0.032817	1221	15	-1.1972	-0.553	-0.007	11.5559	6.5	0.3	-0.7456	-0.3372
HG00131	GBR	European	0.009475	21	0.036821	1095	14	-1.2785	0.2073	-0.497	9.9112	4.5578	0.2847	-0.8484	-0.1162
HG00132	GBR	European	0.013265	27	0.037843	1229	13	-1.4726	0.8288	-0.7418	8.2536	3.349	0.4648	-0.8804	-0.1899
HG00133	GBR	European	0.008064	16	0.03333	1172	13	-1.4143	-0.3235	-0.2308	11.1809	4.9412	0.3821	-0.896	-0.3641
HG00136	GBR	European	0.010546	21	0.034858	1160	16	-1.3603	0.2663	-0.1579	9.4348	4.4008	0.4608	-0.6937	-0.3364
HG00137	GBR	European	0.008772	17	0.035723	1126	15	-1.1622	-0.0823	-0.2945	10.454	5.7264	0.2573	-0.7715	-0.1829
HG00138	GBR	European	0.006437	15	0.033527	1405	26	-0.5731	-0.043	0.7893	8.1731	7.8745	0.2916	0.0583	-0.2762
HG00139	GBR	European	0.008993	19	0.031736	1080	15	-1.6316	-0.11	0.0896	10.5162	4.6776	0.5878	-0.784	-0.5455
HG00140	GBR	European	0.007313	16	0.034697	1060	13	-1.3174	-0.3386	-0.3393	11.5336	5.0614	0.2592	-0.9265	-0.2106
HG00141	GBR	European	0.007006	15	0.036647	1079	21	-0.686	-0.1061	0.1351	9.6045	7.4215	0.0903	-0.3732	-0.0246
HG00142	GBR	European	0.006456	12	0.0325	1130	17	-1.1343	-0.5835	0.2104	11.6709	6.75	0.3044	-0.6334	-0.368
HG00143	GBR	European	0.00987	21	0.034503	1137	24	-0.9898	0.4414	0.5437	7.9651	6.1951	0.4626	-0.1518	-0.3386
HG00145	GBR	European	0.007464	16	0.031326	1070	15	-1.5336	-0.3981	0.1491	11.3237	5.3445	0.5033	-0.7867	-0.5157
HG00146	GBR	European	0.006551	14	0.036502	1116	16	-0.8863	-0.336	-0.2651	10.7376	6.7882	0.0646	-0.7057	-0.0178
HG00148	GBR	European	0.008552	17	0.034763	1243	13	-1.295	-0.1648	-0.3885	11.2668	4.9412	0.3177	-0.8766	-0.2584
HG00149	GBR	European	0.007369	16	0.038101	1374	29	-0.0653	0.3265	0.5942	8.3072	7.6571	0.0201	0.2554	0.0884
HG00150	GBR	European	0.011484	27	0.034926	1106	9	-1.9568	0.4722	-0.7619	8.8595	3.163	0.6097	-1.188	-0.371
HG00151	GBR	European	0.007406	17	0.031625	1137	11	-1.7083	-0.4314	-0.2272	11.7116	4.5173	0.5003	-1.0425	-0.4867
HG00154	GBR	European	0.011078	23	0.03332	1050	13	-1.7846	0.2491	-0.2468	9.8915	3.4336	0.6286	-0.9292	-0.4956
HG00155	GBR	European	0.005663	13	0.034795	1234	20	-0.7396	-0.3716	0.2148	9.7823	7.8934	0.1345	-0.3994	-0.1304
HG00157	GBR	European	0.008972	20	0.031599	1159	22	-1.2959	0.1646	0.6618	8.8001	5.874	0.617	-0.2829	-0.5568
HG00158	GBR	European	0.00481	10	0.035801	1303	9	-1.0371	-0.8697	-0.7881	13.7576	7.9574	-0.0269	-1.1343	-0.0044
HG00159	GBR	European	0.004439	11	0.034069	1219	12	-1.1133	-0.8272	-0.3605	13.5076	7.1734	0.1031	-0.9517	-0.1417
HG00160	GBR	European	0.007088	15	0.030899	1104	16	-1.4652	-0.4605	0.272	11.6752	5.7045	0.5003	-0.709	-0.5372
HG00171	FIN	European	0.015261	29	0.034967	1216	10	-2.0147	0.8658	-0.7244	8.0571	3.0425	0.778	-1.0895	-0.5309
HG00173	FIN	European	0.007569	15	0.034927	1132	25	-0.6387	-0.0116	0.6198	8.511	7.6183	0.2316	-0.0847	-0.2013
HG00174	FIN	European	0.00795	16	0.033743	1275	24	-0.7805	0.0274	0.6189	8.2765	7.4052	0.3489	-0.1142	-0.3227
HG00176	FIN	European	0.0117	21	0.035759	1342	31	-0.4773	0.8421	0.9563	7.2858	6.2922	0.437	0.3837	-0.3066
HG00177	FIN	European	0.015847	26	0.031936	1307	17	-1.8209	0.8249	0.1408	8.3611	3.8657	0.9525	-0.5851	-0.8247
HG00178	FIN	European	0.009024	16	0.036139	1139	12	-1.2379	-0.197	-0.5812	11.7072	4.9551	0.2164	-0.9735	-0.157
HG00179	FIN	European	0.007272	13	0.034635	1406	22	-0.618	-0.19	0.358	9.2845	8.0088	0.2016	-0.2155	-0.2143
HG00180	FIN	European	0.014919	23	0.034136	1172	16	-1.597	0.6152	-0.1126	8.6862	4.1698	0.7039	-0.6904	-0.5897
HG00181	FIN	European	0.0054	12	0.037713	1210	10	-0.9325	-0.6321	-0.8832	12.5004	6.8223	-0.1015	-1.0912	0.1393
HG00182	FIN	European	0.010199	16	0.035437	1231	23	-0.7445	0.1835	0.3743	8.7372	7.2076	0.3068	-0.1947	-0.2701
HG00183	FIN	European	0.015789	23	0.033551	1354	21	-1.344	0.8273	0.3199	7.8327	4.8276	0.7755	-0.2982	-0.6792
HG00185	FIN	European	0.013639	21	0.03627	1183	20	-1.0928	0.6199	0.0225	8.4257	5.4457	0.468	-0.4133	-0.3453
HG00186	FIN	European	0.019928	33	0.033149	1249	19	-1.9742	1.5775	0.1565	7.3361	3.2917	1.1493	-0.4639	-0.8941
HG00187	FIN	European	0.016534	25	0.034642	1339	21	-1.3356	1.0301	0.2063	7.6702	4.7467	0.7644	-0.3023	-0.6149
HG00188	FIN	European	0.007277	16	0.034373	1268	20	-0.9072	-0.1052	0.231	9.4337	7.0297	0.2809	-0.3902	-0.2377
HG00189	FIN	European	0.009919	20	0.037192	1210	18	-0.9699	0.3271	-0.2212	9.093	5.4169	0.2535	-0.543	-0.1025
HG00190	FIN	European	0.010091	20	0.036944	1387	12	-1.2178	0.1909	-0.7269	10.0698	4.4852	0.2771	-0.9059	-0.132
HG00231	GBR	European	0.010403	22	0.03587	1012	9	-1.7099	0.1223	-0.8098	10.061	3.5986	0.4044	-1.2137	-0.2406
HG00232	GBR	European	0.010203	22	0.032432	1122	11	-1.88	0.0612	-0.3329	10.2307	3.2977	0.641	-1.0466	-0.5364
HG00233	GBR	European	0.010003	22	0.035609	1357	17	-1.1751	0.3953	-0.1878	9.2389	4.6784	0.409	-0.5715	-0.2464
HG00234	GBR	European	0.009147	19	0.037526	1048	10	-1.3545	-0.0325	-0.8768	10.7449	4.3769	0.183	-1.1353	-0.0395
HG00235	GBR	European	0.006602	13	0.034782	1257	19	-0.8029	-0.3421	0.1263	9.9129	7.7758	0.168	-0.4617	-0.1723
HG00236	GBR	European	0.029006	20	0.034565	1140	11	-2.0526	1.1108	-0.5903	6.593	4.0081	1.101	-1.0417	-1.1618
HG00237	GBR	European	0.007612	16	0.033166	1049	13	-1.4731	-0.382	-0.1903	11.1733	4.9647	0.378	-0.9295	-0.3591
HG00238	GBR	European	0.010175	12	0.035082	1222	20	-0.7913	-0.1635	0.1803	9.5091	7.7367	0.2504	-0.4027	-0.3005
HG00239	GBR	European	0.006524	15	0.034653	1184	6	-1.5614	-0.6236	-0.9299	12.2274	4.3517	0.2149	-1.3723	-0.1804
HG00240	GBR	European	0.00216	5	0.034083	1247	11	-0.8863	-1.3455	-0.4163	14.9022	9.4275	-0.098	-1.0126	-0.0418
HG00242	GBR	European	0.00343	8	0.033502	1191	22	-0.5532	-0.8044	0.542	9.8686	9.321	0.0478	-0.2741	-0.1482
HG00243	GBR	European	0.004532	11	0.033639	959	14	-1.171	-0.8354	-0.1049	13.214	7.1636	0.1368	-0.8855	-0.1838
HG00244	GBR	European	0.00347	8	0.034945	1204	18	-0.6119	-0.8606	0.0696	12.334	9.4374	-0.0531	-0.5447	-0.0221
HG00245	GBR	European	0.004613	11	0.034606	1060	17	-0.8885	-0.6852	0.0303	12.1227	7.4513	0.0711	-0.6524	-0.1017
HG00246	GBR	European	0.004132	8	0.03618	1190	9	-0.9655	-1.0399	-0.7924	13.7827	8.2835	-0.1176	-1.1651	0.0585
HG00250	GBR	European	0.002821	6	0.036314	1238	14	-0.5823	-1.0763	-0.3886	13.0689	9.439	-0.2129	-0.8095	0.1271
HG00251	GBR	European	0.002831	7	0.035792	1200	11	-0.8321	-1.1303	-0.5833	13.8146	8.6848	-0.1554	-1.0254	0.0805
HG00252	GBR	European	0.005666	11	0.033416	1035	17	-1.0365	-0.6751	0.1467	11.8718	7.1272	0.192	-0.6593	-0.2527
HG00253	GBR	European	0.005746	14	0.034972	1185	14	-1.0797	-0.4843	-0.2933	11.7431	5.5496	0.145	-0.8239	-0.1183
HG00254	GBR	European	0.002205	5	0.034475	1161	16	-0.6398	-1.201	-0.025	13.4437	10.3097	-0.1242	-0.6934	-0.0089
HG00255	GBR	European	0.004785	9	0.036839	1126	18	-0.5347	-0.6684	-0.1069	11.9052	9.0491	-0.1215	-0.5659	0.0886
HG00256	GBR	European	0.001144	3	0.036727	1171	10	-0.6275	-1.4701	-0.7278	14.0004	9.4073	-0.3608	-1.1018	0.2363
HG00257	GBR	European	0.002681	6	0.036794	1075	11	-0.7549	-1.1881	-0.6514	13.732	8.9623	-0.2517	-1.0595	0.1757
HG00258	GBR	European	0.002927	7	0.032191	1060	11	-1.2342	-1.2918	-0.2094	15.7007	9.5616	0.1031	-1.0635	-0.2426
HG00259	GBR	European	0.000879	2	0.031888	1071	18	-0.6868	-1.5193	0.4244	14.4145	12.0777	-0.0475	-0.5809	-0.1806
HG00260	GBR	European	0.003397	7	0.035076	1217	20	-0.4579	-0.8596	0.2244	12.2887	9.6625	-0.0851	-0.4041	-0.0074
HG00261	GBR	European	0.003	6	0.032232	1068	11	-1.1938	-1.3451	-0.2106	15.6434	9.623	0.0825	-1.0614	-0.2421
HG00262	GBR	European	0.002185	5	0.03291	1153	25	-0.3423	-1.0018	0.8712	10.8002	12.6469	-0.014	-0.0789	-0.1467
HG00263	GBR	European	0.000797	2	0.035008	1267	11	-0.6537	-1.5668	-0.4919	14.5672	9.8223	-0.2713	-1.0071	0.0992
HG00264	GBR	European	0.002825	6	0.032473	1118	10	-1.1947	-1.3644	-0.3254	15.656	9.58	0.0593	-1.1162	-0.2132
HG00265	GBR	European	0.002056	5	0.03502	1113	22	-0.3079	-1.0246	0.4277	11.4025	11.8773	-0.1679	-0.2954	0.0457
HG00266	FIN	European	0.01324	23	0.035077	1235	17	-1.391	0.5966	-0.1277	8.7495	4.2617	0.579	-0.6047	-0.4336
HG00267	FIN	European	0.011995	20	0.034063	1183	14	-1.5242	0.2057	-0.2506	9.8531	4.2269	0.5472	-0.8245	-0.4696
HG00268	FIN	European	0.008534	14	0.033607	1153	24	-0.7915	-0.0914	0.6622	8.4796	7.7601	0.3384	-0.1475	-0.36
HG00269	FIN	European	0.01504	23	0.032581	1196	11	-1.984	0.4227	-0.3803	9.6644	3.2994	0.8182	-1.0265	-0.7326
HG00271	FIN	European	0.022508	32	0.035212	1372	27	-1.3556	2.0032	0.5915	6.8694	4.0853	1.0724	0.1178	-0.8231
HG00272	FIN	European	0.02003	28	0.034862	1395	16	-1.7269	1.2891	-0.2625	7.5231	3.6442	0.9305	-0.6296	-0.7468
HG00273	FIN	European	0.011519	27	0.035491	1513	14	-1.4767	0.7278	-0.4806	7.9926	3.4693	0.5709	-0.7345	-0.3224
HG00274	FIN	European	0.01206	16	0.034604	1243	19	-1.0609	0.1454	0.1163	9.4119	6.1676	0.4303	-0.4655	-0.4244
HG00275	FIN	European	0.012715	26	0.037415	1292	10	-1.5862	0.6462	-0.9541	8.5766	3.2391	0.4558	-1.0688	-0.2039
HG00276	FIN	European	0.017556	23	0.034993	1237	24	-1.1533	1.0466	0.4453	7.3883	4.9707	0.7345	-0.1246	-0.628
HG00277	FIN	European	0.012011	21	0.034237	1133	17	-1.4159	0.3505	-0.0146	9.1584	4.3532	0.5556	-0.6325	-0.4548
HG00278	FIN	European	0.012232	22	0.031625	1096	11	-2.0158	0.1421	-0.2562	10.2158	3.2177	0.7685	-1.0537	-0.6957
HG00280	FIN	European	0.013209	27	0.035082	1284	20	-1.3581	0.9355	0.0928	7.7546	4.4453	0.6584	-0.3858	-0.4319
HG00281	FIN	European	0.008213	15	0.036968	1449	17	-0.7208	-0.0616	-0.3	10.1445	6.7793	0.1094	-0.5464	-0.0485
HG00282	FIN	European	0.008287	17	0.033608	1231	18	-1.1538	-0.0813	0.1391	10.4757	6.0432	0.3903	-0.5373	-0.3492
HG00284	FIN	European	0.010965	26	0.031113	1246	16	-1.8578	0.4695	0.164	8.8392	3.7683	0.8416	-0.6702	-0.6862
HG00285	FIN	European	0.023568	40	0.03594	1249	27	-1.6448	2.5515	0.5058	6.6016	3.5341	1.2191	0.0843	-0.8045
HG00288	FIN	European	0.012057	22	0.034821	1078	12	-1.6697	0.279	-0.4782	9.7504	3.5564	0.536	-0.9901	-0.4051
HG00290	FIN	European	0.017734	30	0.033004	1154	20	-1.8231	1.272	0.291	7.4396	3.4838	1.023	-0.4213	-0.8119
HG00304	FIN	European	0.014929	29	0.035466	1390	20	-1.3861	1.1935	0.0216	7.5472	4.2222	0.7312	-0.3569	-0.4724
HG00306	FIN	European	0.00874	16	0.033038	1211	16	-1.2916	-0.2001	0.0358	10.8651	5.6181	0.4262	-0.6798	-0.4193
HG00308	FIN	European	0.014857	28	0.032061	1203	24	-1.5527	1.0752	0.7208	7.8699	4.7363	0.9497	-0.1338	-0.7708
HG00309	FIN	European	0.016385	29	0.03568	1303	15	-1.6878	1.1218	-0.4001	7.7967	3.3508	0.7665	-0.7232	-0.5165
HG00310	FIN	European	0.012911	23	0.034742	1224	9	-1.8172	0.3299	-0.7531	9.5395	3.3953	0.5913	-1.1559	-0.449
HG00311	FIN	European	0.011648	23	0.034725	1167	13	-1.6148	0.3605	-0.4064	9.6366	3.5472	0.5488	-0.8973	-0.3959
HG00313	FIN	European	0.013632	26	0.033117	1236	17	-1.6883	0.7268	0.047	8.4165	3.8708	0.7921	-0.6045	-0.6242
HG00315	FIN	European	0.007638	15	0.035236	1239	18	-0.9123	-0.1765	-0.0087	9.9751	6.7147	0.2121	-0.5351	-0.177
HG00318	FIN	European	0.007048	15	0.033275	1093	10	-1.5444	-0.549	-0.4509	12.3672	4.5178	0.3306	-1.1231	-0.325
HG00319	FIN	European	0.012563	24	0.034485	1213	11	-1.7732	0.4166	-0.5644	9.4583	3.3492	0.6177	-1.0218	-0.4567
HG00320	FIN	European	0.015236	24	0.035528	1388	22	-1.1153	0.9678	0.2025	7.6295	4.8167	0.6365	-0.2204	-0.4802
HG00321	FIN	European	0.017787	35	0.032213	1126	17	-2.2339	1.4552	0.1025	7.3062	3.0769	1.1818	-0.6344	-0.8842
HG00323	FIN	European	0.022074	34	0.036074	1190	14	-2.0603	1.7157	-0.5387	7.2217	3.208	1.0366	-0.8225	-0.728
HG00324	FIN	European	0.036137	48	0.036606	1520	27	-2.0422	3.8461	0.3168	6.2247	2.9791	1.769	0.1582	-1.29
HG00325	FIN	European	0.018157	34	0.031414	1238	14	-2.3829	1.322	-0.086	7.4154	3.0322	1.231	-0.8095	-0.971
HG00326	FIN	European	0.014361	27	0.033431	1174	18	-1.6886	0.8575	0.1043	8.0805	3.9226	0.8153	-0.5528	-0.628
HG00327	FIN	European	0.014977	29	0.034778	1354	15	-1.7163	1.017	-0.3184	7.8147	3.4129	0.7816	-0.7093	-0.5354
HG00328	FIN	European	0.014254	26	0.030885	1276	22	-1.6464	0.8315	0.666	8.0225	4.7337	0.9717	-0.251	-0.8488
HG00329	FIN	European	0.014235	25	0.0351	1381	22	-1.1693	0.9529	0.2437	7.69	4.8152	0.6523	-0.2223	-0.4747
HG00330	FIN	European	0.008754	16	0.034541	1279	27	-0.5739	0.1924	0.7864	7.9958	7.4874	0.3202	0.0924	-0.2868
HG00331	FIN	European	0.010661	18	0.034935	1220	13	-1.3743	0.0193	-0.4115	10.417	4.5039	0.3988	-0.8829	-0.3345
HG00332	FIN	European	0.009019	16	0.031952	1230	18	-1.2924	-0.1631	0.3014	10.513	5.8535	0.5128	-0.5376	-0.5276
HG00334	FIN	European	0.005116	9	0.034249	1213	18	-0.7475	-0.7295	0.1258	12.1731	8.7562	0.0735	-0.5422	-0.1551
HG00335	FIN	European	0.007403	14	0.035298	1262	21	-0.7069	-0.1562	0.234	9.4748	7.5988	0.1794	-0.3233	-0.1613
HG00336	FIN	European	0.005274	10	0.036305	1353	26	-0.1335	-0.3189	0.5566	9.0441	10.2105	-0.0465	0.0441	0.0202
HG00337	FIN	European	0.002736	7	0.036781	1285	19	-0.3019	-0.8473	-0.0337	11.584	10.3536	-0.2287	-0.4541	0.1721
HG00338	FIN	European	0.006522	12	0.034701	1210	21	-0.6951	-0.3623	0.3129	9.5737	8.008	0.1508	-0.3375	-0.176
HG00339	FIN	European	0.008141	16	0.03495	1359	19	-0.8834	-0.043	0.0728	9.6772	6.7026	0.27	-0.4339	-0.2241
HG00341	FIN	European	0.005049	10	0.03398	1174	18	-0.8231	-0.6912	0.1549	12.2948	8.3134	0.1104	-0.5528	-0.1761
HG00342	FIN	European	0.012186	7	0.033832	1326	25	-0.4886	-0.2309	0.7104	9.3169	10.0478	0.3076	-0.0318	-0.4983
HG00343	FIN	European	0.003457	7	0.035077	1102	10	-1.0072	-1.1714	-0.5802	14.0753	8.5095	-0.0831	-1.1206	-0.0099
HG00344	FIN	European	0.004264	8	0.036342	1626	22	-0.115	-0.5553	0.1829	10.1109	10.1174	-0.1245	-0.1555	0.0671
HG00345	FIN	European	0.001098	2	0.032406	1316	11	-0.8837	-1.6382	-0.2509	15.5227	10.4637	-0.0765	-0.9937	-0.1443
HG00346	FIN	European	0.008908	13	0.033578	1197	12	-1.3457	-0.4712	-0.3313	12.2365	5.1942	0.3332	-0.9577	-0.3788
HG00349	FIN	European	0.0046	10	0.03474	1263	28	-0.2045	-0.3785	0.8921	8.7866	10.1643	0.041	0.1566	-0.0893
HG00350	FIN	European	0.00165	4	0.033158	1182	16	-0.7062	-1.3395	0.1044	14.2258	11.0795	-0.0703	-0.6877	-0.1016
HG00351	FIN	European	0.005047	6	0.035387	1447	13	-0.6803	-0.9677	-0.428	13.2975	9.0738	-0.0701	-0.821	-0.0513
HG00353	FIN	European	0.003096	6	0.033705	1129	28	-0.1856	-0.7761	1.0396	9.1997	10.9439	-0.0186	0.1201	-0.1158
HG00355	FIN	European	0.004569	7	0.033458	1199	11	-1.0934	-1.1191	-0.363	14.8658	8.9528	0.0702	-1.0256	-0.2015
HG00356	FIN	European	0.003332	5	0.035188	1308	13	-0.6843	-1.1646	-0.3729	13.6082	9.4619	-0.1357	-0.8589	0.0053
HG00357	FIN	European	0.002661	6	0.033951	1189	10	-1.0208	-1.3024	-0.4811	14.9004	9.1724	-0.051	-1.0969	-0.0752
HG00358	FIN	European	0.006805	7	0.027319	969	10	-1.8742	-1.3021	0.1839	16.8269	9.3221	0.5825	-1.1569	-0.8419
HG00360	FIN	European	0.001858	3	0.036804	1275	16	-0.2931	-1.2293	-0.2615	12.8363	10.7312	-0.3416	-0.6623	0.2123
HG00361	FIN	European	0.004956	6	0.035656	1276	11	-0.8276	-1.0573	-0.5865	13.8014	8.7889	-0.0923	-1.0047	-0.0236
HG00362	FIN	European	0.002571	4	0.037379	1273	12	-0.4908	-1.2223	-0.6536	13.6518	9.324	-0.3374	-0.937	0.2323
HG00364	FIN	European	0.0019	2	0.033352	1135	12	-0.844	-1.5653	-0.2278	15.0673	10.2409	-0.1158	-0.9746	-0.0953
HG00365	FIN	European	0.004297	4	0.034783	1293	28	0.0286	-0.7521	0.9097	9.2435	11.0843	-0.0937	0.1648	-0.0723
HG00366	FIN	European	0.003437	7	0.03365	1236	24	-0.3855	-0.7913	0.6888	9.6904	10.0702	0.0173	-0.1248	-0.1354
HG00367	FIN	European	0.001624	4	0.034293	1063	14	-0.7509	-1.3812	-0.1478	14.0569	10.2792	-0.1516	-0.8572	0.0
HG00368	FIN	European	0.005288	7	0.034967	1508	23	-0.2361	-0.6053	0.4219	9.7724	10.3126	-0.0118	-0.1192	-0.099
HG00369	FIN	European	0.001385	3	0.032623	1185	23	-0.3659	-1.2317	0.739	11.5557	12.8743	-0.0618	-0.2072	-0.1375
HG00371	FIN	European	0.00294	5	0.032724	1392	22	-0.4217	-1.0016	0.5938	11.286	12.7564	0.0253	-0.2193	-0.1959
HG00372	FIN	European	0.002434	6	0.034265	1398	20	-0.3965	-0.9683	0.2758	12.1083	11.3241	-0.0812	-0.3547	-0.0375
HG00373	FIN	European	0.004383	5	0.032686	1324	14	-0.8877	-1.1668	-0.0548	14.7153	10.7246	0.0781	-0.786	-0.2618
HG00375	FIN	European	0.003543	6	0.032804	1343	7	-1.2308	-1.3496	-0.6501	15.5605	9.5207	0.0607	-1.2605	-0.2149
HG00376	FIN	European	0.001873	3	0.032944	1196	7	-1.1382	-1.6541	-0.6173	15.8521	9.9886	-0.0676	-1.3005	-0.1302
HG00378	FIN	European	0.000803	1	0.035515	1324	19	-0.1487	-1.3631	0.1136	12.4569	11.7939	-0.3272	-0.4434	0.1438
HG00379	FIN	European	0.002455	4	0.037406	1244	20	-0.1005	-1.0015	0.0105	11.5013	11.2308	-0.3433	-0.3967	0.2397
HG00380	FIN	European	0.002844	6	0.036411	1362	23	-0.0715	-0.7833	0.322	10.7745	11.1391	-0.219	-0.159	0.1348
HG00381	FIN	European	0.002146	4	0.034639	1374	17	-0.4448	-1.1844	0.0062	13.3025	10.8736	-0.158	-0.5668	0.008
HG00382	FIN	European	0.005722	5	0.032533	1251	20	-0.6678	-0.9365	0.4653	13.5493	11.9909	0.1352	-0.3948	-0.3333
HG00383	FIN	European	0.007433	7	0.03511	1266	17	-0.679	-0.702	-0.0481	12.3986	9.3912	0.0524	-0.5963	-0.1793
HG00384	FIN	European	0.001888	4	0.035971	1302	23	-0.0469	-0.9894	0.3876	10.8955	11.737	-0.2613	-0.1754	0.1371
HG00403	CHS	East_Asian	0.006997	15	0.034363	1399	14	-1.1073	-0.329	-0.2832	11.3947	5.4603	0.2517	-0.7656	-0.2265
HG00404	CHS	East_Asian	0.007968	19	0.031097	1561	18	-1.306	-0.0038	0.3112	9.5692	5.3475	0.5976	-0.4473	-0.5578
HG00405	UNKNOWN		0.008098	18	0.035136	1545	17	-0.952	0.0645	-0.1543	10.0021	5.8771	0.2958	-0.5202	-0.2058
HG00406	CHS	East_Asian	0.010486	21	0.033664	1426	20	-1.1549	0.3903	0.2376	8.4804	5.4712	0.5433	-0.3471	-0.4395
HG00407	CHS	East_Asian	0.005979	13	0.03122	1440	30	-0.4949	-0.1551	1.3462	7.8496	8.4129	0.3988	0.3419	-0.4607
HG00408	UNKNOWN		0.007558	18	0.032544	1412	26	-0.7934	0.1678	0.8662	7.7244	6.9849	0.4606	0.0602	-0.4118
HG00409	CHS	East_Asian	0.010416	21	0.031409	1295	14	-1.7209	0.0979	-0.0153	10.0531	3.8176	0.7007	-0.7939	-0.6362
HG00410	CHS	East_Asian	0.008082	19	0.030414	1229	20	-1.4196	-0.0359	0.6049	9.2006	5.6546	0.6499	-0.4008	-0.6232
HG00418	UNKNOWN		0.006737	14	0.033239	1413	20	-0.8674	-0.2701	0.3235	10.5104	7.148	0.3022	-0.3506	-0.3148
