sampleId	population	group	froh_genome	rare_missense_chr22	constrained_burden	divergent_burden	constrained_div_ratio	froh_quartile
HG01942	PEL	American	0.025554	17.0	0.0	0.0	0.0	4
HG01943	UNKNOWN	Other	0.019416	12.0	0.0	0.0	0.0	4
HG01944	PEL	American	0.011546	13.0	0.0	0.0	0.0	4
HG01945	PEL	American	0.02193	11.0	0.0	0.0	0.0	4
HG01946	UNKNOWN	Other	0.017129	7.0	0.0	0.0	0.0	4
HG01947	PEL	American	0.016857	20.0	0.0	2.0	0.0	4
HG01948	PEL	American	0.010176	9.0	1.0	1.0	0.5	4
HG01949	UNKNOWN	Other	0.013157	9.0	0.0	2.0	0.0	4
HG01950	PEL	American	0.02582	13.0	0.0	0.0	0.0	4
HG01951	PEL	American	0.040324	8.0	0.0	0.0	0.0	4
HG01952	UNKNOWN	Other	0.029399	7.0	0.0	0.0	0.0	4
HG01953	PEL	American	0.033251	12.0	0.0	0.0	0.0	4
HG01954	PEL	American	0.025034	21.0	0.0	0.0	0.0	4
HG01955	UNKNOWN	Other	0.030605	12.0	0.0	0.0	0.0	4
HG01956	ACB	African	0.002871	45.0	1.0	3.0	0.25	2
HG01958	ACB	African	0.001823	26.0	1.0	0.0	1.0	1
HG01959	UNKNOWN	Other	0.005689	29.0	1.0	1.0	0.5	3
HG01960	UNKNOWN	Other	0.003808	31.0	1.0	3.0	0.25	2
HG01961	PEL	American	0.037221	9.0	0.0	0.0	0.0	4
HG01965	PEL	American	0.009562	19.0	0.0	0.0	0.0	4
HG01967	PEL	American	0.012153	10.0	0.0	0.0	0.0	4
HG01968	PEL	American	0.029486	9.0	0.0	0.0	0.0	4
HG01969	UNKNOWN	Other	0.01559	5.0	0.0	0.0	0.0	4
HG01970	PEL	American	0.091831	9.0	0.0	0.0	0.0	4
HG01971	PEL	American	0.009806	16.0	0.0	1.0	0.0	4
HG01972	UNKNOWN	Other	0.006671	12.0	0.0	1.0	0.0	3
HG01973	PEL	American	0.010987	5.0	0.0	0.0	0.0	4
HG01974	PEL	American	0.013718	12.0	0.0	2.0	0.0	4
HG01975	UNKNOWN	Other	0.01113	7.0	0.0	0.0	0.0	4
HG01976	PEL	American	0.006221	13.0	0.0	0.0	0.0	3
HG01977	PEL	American	0.007821	7.0	0.0	1.0	0.0	3
HG01978	UNKNOWN	Other	0.004123	9.0	0.0	1.0	0.0	2
HG01979	PEL	American	0.008807	18.0	0.0	0.0	0.0	4
HG01980	PEL	American	0.00557	15.0	2.0	0.0	2.0	3
HG01981	UNKNOWN	Other	0.007046	12.0	1.0	0.0	1.0	3
HG01982	PEL	American	0.005617	17.0	0.0	1.0	0.0	3
HG01983	UNKNOWN	Other	0.003042	18.0	0.0	1.0	0.0	2
HG01984	UNKNOWN	Other	0.001311	18.0	0.0	1.0	0.0	1
HG01985	ACB	African	0.000857	38.0	0.0	2.0	0.0	1
HG01986	ACB	African	0.002707	37.0	1.0	3.0	0.25	2
HG01987	UNKNOWN	Other	0.0047	33.0	0.0	2.0	0.0	2
HG01988	ACB	African	0.005186	27.0	0.0	2.0	0.0	3
HG01989	ACB	African	0.004067	28.0	2.0	2.0	0.6667	2
HG01990	ACB	African	0.00497	49.0	0.0	3.0	0.0	3
HG01991	PEL	American	0.001533	10.0	0.0	0.0	0.0	1
HG01992	PEL	American	0.003724	11.0	0.0	0.0	0.0	2
HG01993	UNKNOWN	Other	0.003241	12.0	0.0	0.0	0.0	2
HG01997	PEL	American	0.005524	11.0	0.0	2.0	0.0	3
HG01998	UNKNOWN	Other	0.00426	8.0	0.0	0.0	0.0	2
HG02002	PEL	American	0.003324	18.0	0.0	0.0	0.0	2
HG02003	PEL	American	0.007995	10.0	0.0	0.0	0.0	3
HG02004	UNKNOWN	Other	0.003026	11.0	0.0	0.0	0.0	2
HG02006	PEL	American	0.002665	15.0	0.0	1.0	0.0	2
HG02008	PEL	American	0.004311	11.0	0.0	1.0	0.0	2
HG02009	ACB	African	0.002163	41.0	0.0	5.0	0.0	1
HG02010	ACB	African	0.003405	31.0	0.0	2.0	0.0	2
HG02011	UNKNOWN	Other	0.003803	32.0	0.0	3.0	0.0	2
HG02012	ACB	African	0.003009	33.0	0.0	2.0	0.0	2
HG02013	ACB	African	0.002387	31.0	0.0	2.0	0.0	1
HG02014	ACB	African	0.001641	35.0	1.0	0.0	1.0	1
HG02015	UNKNOWN	Other	0.010643	19.0	0.0	1.0	0.0	4
HG02016	KHV	East_Asian	0.006112	18.0	0.0	0.0	0.0	3
HG02017	KHV	East_Asian	0.006563	19.0	0.0	2.0	0.0	3
HG02018	UNKNOWN	Other	0.012302	16.0	0.0	3.0	0.0	4
HG02019	KHV	East_Asian	0.008414	16.0	0.0	1.0	0.0	3
HG02020	KHV	East_Asian	0.004979	18.0	0.0	5.0	0.0	3
HG02023	KHV	East_Asian	0.008004	26.0	1.0	1.0	0.5	3
HG02024	UNKNOWN	Other	0.005265	14.0	0.0	0.0	0.0	3
HG02025	KHV	East_Asian	0.00863	18.0	0.0	1.0	0.0	4
HG02026	KHV	East_Asian	0.007003	18.0	0.0	0.0	0.0	3
HG02027	UNKNOWN	Other	0.010886	16.0	0.0	3.0	0.0	4
HG02028	KHV	East_Asian	0.009328	26.0	0.0	2.0	0.0	4
HG02029	KHV	East_Asian	0.006081	19.0	0.0	1.0	0.0	3
HG02030	UNKNOWN	Other	0.005855	18.0	0.0	1.0	0.0	3
HG02031	KHV	East_Asian	0.010987	28.0	1.0	1.0	0.5	4
HG02032	KHV	East_Asian	0.007049	19.0	0.0	0.0	0.0	3
HG02035	KHV	East_Asian	0.00959	22.0	0.0	1.0	0.0	4
HG02040	KHV	East_Asian	0.00529	20.0	0.0	1.0	0.0	3
HG02047	KHV	East_Asian	0.005187	26.0	0.0	0.0	0.0	3
HG02048	KHV	East_Asian	0.006349	22.0	0.0	3.0	0.0	3
HG02049	KHV	East_Asian	0.005067	30.0	0.0	2.0	0.0	3
HG02050	KHV	East_Asian	0.005975	20.0	0.0	0.0	0.0	3
HG02051	ACB	African	0.002256	37.0	0.0	0.0	0.0	1
HG02052	ACB	African	0.005217	43.0	0.0	1.0	0.0	3
HG02053	ACB	African	0.003766	35.0	1.0	1.0	0.5	2
HG02054	ACB	African	0.004174	28.0	1.0	1.0	0.5	2
HG02055	UNKNOWN	Other	0.001353	28.0	0.0	2.0	0.0	1
HG02056	UNKNOWN	Other	0.003813	25.0	0.0	1.0	0.0	2
HG02057	KHV	East_Asian	0.00761	28.0	0.0	2.0	0.0	3
HG02058	KHV	East_Asian	0.006161	37.0	0.0	0.0	0.0	3
HG02059	UNKNOWN	Other	0.042991	13.0	0.0	1.0	0.0	4
HG02060	KHV	East_Asian	0.002593	18.0	0.0	0.0	0.0	2
HG02061	KHV	East_Asian	0.004878	23.0	0.0	1.0	0.0	3
HG02064	KHV	East_Asian	0.002991	11.0	0.0	0.0	0.0	2
HG02067	KHV	East_Asian	0.002002	24.0	0.0	1.0	0.0	1
HG02068	UNKNOWN	Other	0.002419	19.0	1.0	1.0	0.5	2
HG02069	KHV	East_Asian	0.001822	20.0	0.0	1.0	0.0	1
HG02070	KHV	East_Asian	0.001296	19.0	1.0	0.0	1.0	1
HG02071	UNKNOWN	Other	0.000772	14.0	0.0	2.0	0.0	1
HG02072	KHV	East_Asian	0.001263	23.0	2.0	1.0	1.0	1
HG02073	KHV	East_Asian	0.000744	9.0	0.0	1.0	0.0	1
HG02074	UNKNOWN	Other	0.004657	19.0	0.0	1.0	0.0	2
HG02075	KHV	East_Asian	0.000401	13.0	0.0	0.0	0.0	1
HG02076	KHV	East_Asian	0.001036	23.0	0.0	2.0	0.0	1
HG02077	UNKNOWN	Other	0.00203	19.0	1.0	2.0	0.3333	1
HG02078	KHV	East_Asian	0.002153	22.0	2.0	1.0	1.0	1
HG02079	KHV	East_Asian	0.001194	20.0	1.0	1.0	0.5	1
HG02080	UNKNOWN	Other	0.004877	15.0	0.0	2.0	0.0	2
HG02081	KHV	East_Asian	0.000755	10.0	0.0	1.0	0.0	1
HG02082	KHV	East_Asian	0.001098	17.0	0.0	2.0	0.0	1
HG02083	UNKNOWN	Other	0.000755	15.0	0.0	0.0	0.0	1
HG02084	KHV	East_Asian	0.001958	12.0	0.0	0.0	0.0	1
HG02085	KHV	East_Asian	0.000362	22.0	0.0	3.0	0.0	1
HG02086	KHV	East_Asian	0.002966	13.0	0.0	2.0	0.0	2
HG02087	KHV	East_Asian	0.001274	15.0	0.0	2.0	0.0	1
HG02088	KHV	East_Asian	0.000983	29.0	0.0	2.0	0.0	1
HG02089	PEL	American	0.000408	8.0	0.0	0.0	0.0	1
HG02090	PEL	American	0.001998	13.0	0.0	0.0	0.0	1
HG02091	UNKNOWN	Other	0.002752	14.0	0.0	0.0	0.0	2
HG02095	ACB	African	0.001391	33.0	0.0	2.0	0.0	1
HG02102	PEL	American	0.003491	10.0	0.0	0.0	0.0	2
HG02104	PEL	American	0.003021	12.0	1.0	1.0	0.5	2
HG02105	PEL	American	0.002426	28.0	0.0	1.0	0.0	2
HG02106	UNKNOWN	Other	0.002074	11.0	0.0	2.0	0.0	1
HG02107	ACB	African	0.002936	32.0	0.0	2.0	0.0	2
HG02108	ACB	African	0.003355	24.0	0.0	2.0	0.0	2
HG02111	ACB	African	0.005887	48.0	2.0	1.0	1.0	3
HG02113	KHV	East_Asian	0.002265	15.0	0.0	0.0	0.0	1
HG02116	KHV	East_Asian	0.002459	20.0	0.0	1.0	0.0	2
HG02120	UNKNOWN	Other	0.000983	18.0	0.0	4.0	0.0	1
HG02121	KHV	East_Asian	0.001544	14.0	0.0	3.0	0.0	1
HG02122	KHV	East_Asian	0.000918	20.0	0.0	1.0	0.0	1
HG02126	UNKNOWN	Other	0.000388	16.0	1.0	2.0	0.3333	1
HG02127	KHV	East_Asian	0.004119	19.0	0.0	4.0	0.0	2
HG02128	KHV	East_Asian	0.004877	30.0	1.0	0.0	1.0	2
HG02129	UNKNOWN	Other	0.000452	20.0	0.0	2.0	0.0	1
HG02130	KHV	East_Asian	0.004877	23.0	0.0	1.0	0.0	2
HG02131	KHV	East_Asian	0.002399	20.0	0.0	1.0	0.0	2
HG02132	UNKNOWN	Other	0.000577	18.0	0.0	1.0	0.0	1
HG02133	KHV	East_Asian	0.002255	18.0	0.0	1.0	0.0	1
HG02134	KHV	East_Asian	0.000865	21.0	1.0	1.0	0.5	1
HG02135	UNKNOWN	Other	0.000797	24.0	0.0	3.0	0.0	1
HG02136	KHV	East_Asian	0.000439	21.0	0.0	3.0	0.0	1
HG02137	KHV	East_Asian	0.001002	17.0	0.0	1.0	0.0	1
HG02138	KHV	East_Asian	0.002117	14.0	0.0	1.0	0.0	1
HG02139	KHV	East_Asian	0.000726	12.0	0.0	1.0	0.0	1
HG02140	KHV	East_Asian	0.000389	20.0	1.0	0.0	1.0	1
HG02141	KHV	East_Asian	0.002277	30.0	0.0	0.0	0.0	1
HG02142	KHV	East_Asian	0.001081	21.0	0.0	1.0	0.0	1
HG02143	ACB	African	0.002534	35.0	0.0	4.0	0.0	2
HG02144	ACB	African	0.003275	40.0	1.0	1.0	0.5	2
HG02145	UNKNOWN	Other	0.001743	27.0	1.0	3.0	0.25	1
HG02146	PEL	American	0.008099	17.0	0.0	2.0	0.0	3
HG02147	PEL	American	0.004772	10.0	1.0	1.0	0.5	2
HG02148	UNKNOWN	Other	0.002751	10.0	0.0	2.0	0.0	2
HG02150	PEL	American	0.002745	7.0	0.0	0.0	0.0	2
HG02151	CDX	East_Asian	0.008398	21.0	0.0	1.0	0.0	3
HG02152	CDX	East_Asian	0.019526	19.0	0.0	5.0	0.0	4
HG02153	CDX	East_Asian	0.015306	16.0	0.0	0.0	0.0	4
HG02154	CDX	East_Asian	0.03951	20.0	0.0	3.0	0.0	4
HG02155	CDX	East_Asian	0.005159	18.0	0.0	2.0	0.0	3
HG02156	CDX	East_Asian	0.02398	20.0	0.0	2.0	0.0	4
HG02164	CDX	East_Asian	0.016309	23.0	0.0	1.0	0.0	4
HG02165	CDX	East_Asian	0.010288	29.0	0.0	2.0	0.0	4
HG02166	CDX	East_Asian	0.013007	17.0	0.0	1.0	0.0	4
HG02178	CDX	East_Asian	0.016741	21.0	0.0	0.0	0.0	4
HG02179	CDX	East_Asian	0.006037	12.0	0.0	1.0	0.0	3
HG02180	CDX	East_Asian	0.009002	15.0	0.0	2.0	0.0	4
HG02181	CDX	East_Asian	0.009684	24.0	0.0	3.0	0.0	4
HG02182	CDX	East_Asian	0.009032	19.0	0.0	3.0	0.0	4
HG02184	CDX	East_Asian	0.013506	21.0	0.0	2.0	0.0	4
HG02185	CDX	East_Asian	0.020113	14.0	0.0	0.0	0.0	4
HG02186	CDX	East_Asian	0.01178	25.0	0.0	1.0	0.0	4
HG02187	CDX	East_Asian	0.00585	19.0	1.0	3.0	0.25	3
HG02188	CDX	East_Asian	0.009884	21.0	0.0	2.0	0.0	4
HG02190	CDX	East_Asian	0.009145	22.0	0.0	3.0	0.0	4
HG02215	GBR	European	0.001549	10.0	0.0	0.0	0.0	1
HG02219	IBS	European	0.004877	15.0	0.0	0.0	0.0	2
HG02220	IBS	European	0.004877	17.0	0.0	0.0	0.0	2
HG02221	IBS	European	0.001715	16.0	0.0	1.0	0.0	1
HG02222	UNKNOWN	Other	0.000387	11.0	0.0	1.0	0.0	1
HG02223	IBS	European	0.000831	20.0	0.0	0.0	0.0	1
HG02224	IBS	European	0.00071	18.0	0.0	2.0	0.0	1
HG02225	UNKNOWN	Other	0.000762	18.0	0.0	2.0	0.0	1
HG02229	UNKNOWN	Other	0.000502	16.0	0.0	1.0	0.0	1
HG02230	IBS	European	0.000449	20.0	0.0	1.0	0.0	1
HG02231	IBS	European	0.001257	17.0	0.0	0.0	0.0	1
HG02232	IBS	European	0.001735	14.0	0.0	1.0	0.0	1
HG02233	IBS	European	0.001149	29.0	0.0	0.0	0.0	1
HG02234	UNKNOWN	Other	0.004877	15.0	0.0	1.0	0.0	2
HG02235	IBS	European	0.004877	26.0	1.0	1.0	0.5	2
HG02236	IBS	European	0.000594	16.0	0.0	1.0	0.0	1
HG02237	UNKNOWN	Other	0.004877	11.0	0.0	1.0	0.0	2
HG02238	IBS	European	0.001091	23.0	1.0	1.0	0.5	1
HG02239	IBS	European	0.000496	20.0	0.0	0.0	0.0	1
HG02240	UNKNOWN	Other	0.000418	18.0	1.0	0.0	1.0	1
HG02250	CDX	East_Asian	0.009198	9.0	0.0	1.0	0.0	4
HG02252	PEL	American	0.000425	20.0	0.0	1.0	0.0	1
HG02253	PEL	American	0.000897	20.0	0.0	0.0	0.0	1
HG02255	ACB	African	0.002534	39.0	1.0	7.0	0.125	2
HG02256	ACB	African	0.004661	22.0	0.0	0.0	0.0	2
HG02257	UNKNOWN	Other	0.003582	31.0	1.0	3.0	0.25	2
HG02258	UNKNOWN	Other	0.003253	44.0	1.0	3.0	0.25	2
HG02259	PEL	American	0.002545	13.0	1.0	0.0	1.0	2
HG02260	PEL	American	0.002295	13.0	0.0	0.0	0.0	1
HG02261	UNKNOWN	Other	0.00188	8.0	0.0	0.0	0.0	1
HG02262	PEL	American	0.002666	12.0	0.0	0.0	0.0	2
HG02265	PEL	American	0.00037	14.0	0.0	1.0	0.0	1
HG02266	PEL	American	0.001624	13.0	0.0	2.0	0.0	1
HG02271	PEL	American	0.002309	12.0	0.0	0.0	0.0	1
HG02272	PEL	American	0.004106	23.0	1.0	2.0	0.3333	2
HG02273	UNKNOWN	Other	0.003655	10.0	0.0	1.0	0.0	2
HG02274	PEL	American	0.004877	19.0	0.0	0.0	0.0	2
HG02275	PEL	American	0.002049	4.0	0.0	0.0	0.0	1
HG02277	PEL	American	0.001556	9.0	0.0	0.0	0.0	1
HG02278	PEL	American	0.000838	11.0	0.0	1.0	0.0	1
HG02279	UNKNOWN	Other	0.004877	7.0	0.0	0.0	0.0	2
HG02280	UNKNOWN	Other	0.002361	24.0	0.0	2.0	0.0	1
HG02281	ACB	African	0.003781	32.0	0.0	1.0	0.0	2
HG02282	ACB	African	0.005267	29.0	0.0	0.0	0.0	3
HG02283	ACB	African	0.003327	25.0	0.0	0.0	0.0	2
HG02284	ACB	African	0.003837	22.0	0.0	1.0	0.0	2
HG02285	PEL	American	0.001674	11.0	0.0	0.0	0.0	1
HG02286	PEL	American	0.000391	15.0	0.0	3.0	0.0	1
HG02287	UNKNOWN	Other	0.000963	11.0	0.0	2.0	0.0	1
HG02291	PEL	American	0.000485	15.0	0.0	0.0	0.0	1
HG02292	PEL	American	0.001294	17.0	0.0	0.0	0.0	1
HG02293	UNKNOWN	Other	0.001287	12.0	0.0	0.0	0.0	1
HG02298	PEL	American	0.004877	20.0	0.0	0.0	0.0	2
HG02299	PEL	American	0.001796	5.0	0.0	1.0	0.0	1
HG02300	UNKNOWN	Other	0.004877	11.0	0.0	1.0	0.0	2
HG02301	PEL	American	0.004877	16.0	0.0	0.0	0.0	2
HG02302	UNKNOWN	Other	0.004877	23.0	1.0	2.0	0.3333	2
HG02303	UNKNOWN	Other	0.000416	9.0	0.0	0.0	0.0	1
HG02304	PEL	American	0.000445	24.0	0.0	0.0	0.0	1
HG02307	ACB	African	0.003157	30.0	0.0	3.0	0.0	2
HG02308	ACB	African	0.004103	34.0	1.0	0.0	1.0	2
HG02309	ACB	African	0.004126	43.0	0.0	1.0	0.0	2
HG02312	PEL	American	0.004877	5.0	0.0	0.0	0.0	2
HG02314	ACB	African	0.003971	42.0	0.0	2.0	0.0	2
HG02315	ACB	African	0.001578	35.0	1.0	3.0	0.25	1
HG02316	UNKNOWN	Other	0.003576	22.0	0.0	0.0	0.0	2
HG02317	ACB	African	0.004981	21.0	0.0	1.0	0.0	3
HG02318	ACB	African	0.002673	42.0	0.0	1.0	0.0	2
HG02321	UNKNOWN	Other	0.00251	32.0	0.0	1.0	0.0	2
HG02322	ACB	African	0.001711	38.0	2.0	1.0	1.0	1
HG02323	ACB	African	0.004894	41.0	0.0	1.0	0.0	3
HG02325	ACB	African	0.003416	32.0	0.0	0.0	0.0	2
HG02330	ACB	African	0.004884	41.0	0.0	3.0	0.0	3
HG02332	ACB	African	0.002025	27.0	1.0	1.0	0.5	1
HG02334	ACB	African	0.00344	39.0	0.0	3.0	0.0	2
HG02337	ACB	African	0.004311	25.0	1.0	0.0	1.0	2
HG02339	ACB	African	0.026079	29.0	1.0	1.0	0.5	4
HG02343	ACB	African	0.002613	35.0	1.0	6.0	0.1429	2
HG02345	PEL	American	0.004877	8.0	0.0	1.0	0.0	2
HG02348	PEL	American	0.004877	9.0	0.0	0.0	0.0	2
HG02351	CDX	East_Asian	0.007304	15.0	0.0	0.0	0.0	3
HG02353	CDX	East_Asian	0.006018	12.0	0.0	0.0	0.0	3
HG02355	CDX	East_Asian	0.009966	17.0	0.0	1.0	0.0	4
HG02356	CDX	East_Asian	0.00232	9.0	1.0	2.0	0.3333	1
HG02360	CDX	East_Asian	0.007566	14.0	0.0	1.0	0.0	3
HG02364	CDX	East_Asian	0.008507	20.0	1.0	3.0	0.25	3
HG02367	CDX	East_Asian	0.007693	25.0	0.0	2.0	0.0	3
HG02371	CDX	East_Asian	0.005219	21.0	1.0	1.0	0.5	3
HG02373	CDX	East_Asian	0.005639	20.0	1.0	0.0	1.0	3
HG02374	CDX	East_Asian	0.0031	18.0	1.0	2.0	0.3333	2
HG02375	CDX	East_Asian	0.001409	18.0	0.0	0.0	0.0	1
HG02379	CDX	East_Asian	0.002422	23.0	1.0	4.0	0.2	2
HG02380	CDX	East_Asian	0.038059	21.0	0.0	1.0	0.0	4
HG02382	CDX	East_Asian	0.002956	19.0	0.0	4.0	0.0	2
HG02383	CDX	East_Asian	0.010761	15.0	0.0	2.0	0.0	4
HG02384	CDX	East_Asian	0.002917	21.0	0.0	0.0	0.0	2
HG02385	CDX	East_Asian	0.004334	18.0	0.0	0.0	0.0	2
HG02386	CDX	East_Asian	0.001609	10.0	0.0	2.0	0.0	1
HG02389	CDX	East_Asian	0.004877	21.0	0.0	1.0	0.0	2
HG02390	CDX	East_Asian	0.002636	23.0	1.0	0.0	1.0	2
HG02391	CDX	East_Asian	0.005968	17.0	0.0	1.0	0.0	3
HG02392	CDX	East_Asian	0.011832	16.0	0.0	0.0	0.0	4
HG02394	CDX	East_Asian	0.005587	30.0	0.0	1.0	0.0	3
HG02395	CDX	East_Asian	0.002785	14.0	0.0	3.0	0.0	2
HG02396	CDX	East_Asian	0.001135	13.0	0.0	2.0	0.0	1
HG02397	CDX	East_Asian	0.00361	17.0	0.0	2.0	0.0	2
HG02398	CDX	East_Asian	0.00157	18.0	2.0	1.0	1.0	1
HG02399	CDX	East_Asian	0.001925	17.0	0.0	1.0	0.0	1
HG02401	CDX	East_Asian	0.000395	12.0	0.0	0.0	0.0	1
HG02402	CDX	East_Asian	0.001906	26.0	0.0	1.0	0.0	1
HG02406	CDX	East_Asian	0.000765	17.0	0.0	0.0	0.0	1
HG02407	CDX	East_Asian	0.004877	23.0	1.0	2.0	0.3333	2
HG02408	CDX	East_Asian	0.002601	18.0	1.0	1.0	0.5	2
HG02409	CDX	East_Asian	0.00402	10.0	1.0	0.0	1.0	2
