sampleId	population	group	froh_genome	rare_missense_chr22	constrained_burden	divergent_burden	constrained_div_ratio	froh_quartile
HG02410	CDX	East_Asian	0.001947	18.0	0.0	1.0	0.0	1
HG02419	ACB	African	0.007061	26.0	0.0	1.0	0.0	3
HG02420	ACB	African	0.002873	29.0	0.0	2.0	0.0	2
HG02425	PEL	American	0.001462	16.0	0.0	0.0	0.0	1
HG02427	ACB	African	0.004197	32.0	1.0	1.0	0.5	2
HG02429	ACB	African	0.007569	29.0	0.0	2.0	0.0	3
HG02433	ACB	African	0.004421	23.0	0.0	1.0	0.0	2
HG02439	ACB	African	0.003192	31.0	0.0	1.0	0.0	2
HG02442	ACB	African	0.004929	24.0	0.0	1.0	0.0	3
HG02445	ACB	African	0.006109	29.0	1.0	4.0	0.2	3
HG02449	ACB	African	0.00672	21.0	0.0	2.0	0.0	3
HG02450	ACB	African	0.001148	33.0	0.0	5.0	0.0	1
HG02451	UNKNOWN	Other	0.005121	21.0	0.0	3.0	0.0	3
HG02455	ACB	African	0.004584	42.0	0.0	9.0	0.0	2
HG02461	GWD	African	0.002892	41.0	0.0	2.0	0.0	2
HG02462	GWD	African	0.005425	35.0	0.0	0.0	0.0	3
HG02463	UNKNOWN	Other	0.003999	35.0	0.0	1.0	0.0	2
HG02464	GWD	African	0.002633	34.0	0.0	0.0	0.0	2
HG02465	GWD	African	0.003787	29.0	0.0	1.0	0.0	2
HG02466	UNKNOWN	Other	0.009776	24.0	0.0	0.0	0.0	4
HG02470	ACB	African	0.003177	40.0	1.0	2.0	0.3333	2
HG02471	ACB	African	0.001259	43.0	0.0	2.0	0.0	1
HG02476	ACB	African	0.003675	26.0	0.0	1.0	0.0	2
HG02477	ACB	African	0.003051	11.0	0.0	0.0	0.0	2
HG02479	ACB	African	0.003616	28.0	0.0	1.0	0.0	2
HG02481	ACB	African	0.004	23.0	1.0	1.0	0.5	2
HG02484	ACB	African	0.002357	42.0	1.0	2.0	0.3333	1
HG02485	ACB	African	0.00145	30.0	1.0	2.0	0.3333	1
HG02489	ACB	African	0.002639	35.0	0.0	2.0	0.0	2
HG02490	PJL	South_Asian	0.047531	16.0	0.0	1.0	0.0	4
HG02491	PJL	South_Asian	0.004428	25.0	0.0	0.0	0.0	2
HG02492	UNKNOWN	Other	0.004629	11.0	0.0	1.0	0.0	2
HG02493	PJL	South_Asian	0.013283	15.0	0.0	0.0	0.0	4
HG02494	PJL	South_Asian	0.007381	18.0	0.0	0.0	0.0	3
HG02495	UNKNOWN	Other	0.007478	13.0	0.0	0.0	0.0	3
HG02496	ACB	African	0.001485	30.0	1.0	0.0	1.0	1
HG02497	ACB	African	0.003104	47.0	1.0	1.0	0.5	2
HG02501	ACB	African	0.001272	30.0	0.0	0.0	0.0	1
HG02502	ACB	African	0.003349	16.0	0.0	1.0	0.0	2
HG02505	ACB	African	0.001171	21.0	0.0	2.0	0.0	1
HG02508	ACB	African	0.002304	28.0	0.0	3.0	0.0	1
HG02511	ACB	African	0.003249	28.0	0.0	1.0	0.0	2
HG02512	KHV	East_Asian	0.000995	25.0	0.0	2.0	0.0	1
HG02513	KHV	East_Asian	0.000406	23.0	1.0	1.0	0.5	1
HG02514	UNKNOWN	Other	0.000813	11.0	0.0	1.0	0.0	1
HG02521	KHV	East_Asian	0.000354	22.0	0.0	1.0	0.0	1
HG02522	KHV	East_Asian	0.001585	30.0	1.0	0.0	1.0	1
HG02523	UNKNOWN	Other	0.001875	23.0	1.0	1.0	0.5	1
HG02524	UNKNOWN	Other	0.001277	36.0	0.0	1.0	0.0	1
HG02525	UNKNOWN	Other	0.001947	23.0	0.0	2.0	0.0	1
HG02526	UNKNOWN	Other	0.000751	12.0	0.0	0.0	0.0	1
HG02536	ACB	African	0.001087	35.0	0.0	2.0	0.0	1
HG02537	ACB	African	0.002339	39.0	0.0	2.0	0.0	1
HG02541	ACB	African	0.003003	33.0	0.0	4.0	0.0	2
HG02545	ACB	African	0.003352	42.0	1.0	1.0	0.5	2
HG02546	ACB	African	0.000934	36.0	2.0	3.0	0.5	1
HG02549	ACB	African	0.003626	37.0	1.0	0.0	1.0	2
HG02554	ACB	African	0.001945	31.0	0.0	1.0	0.0	1
HG02555	ACB	African	0.005732	25.0	0.0	0.0	0.0	3
HG02557	ACB	African	0.004201	36.0	2.0	1.0	1.0	2
HG02558	ACB	African	0.002067	27.0	0.0	2.0	0.0	1
HG02561	GWD	African	0.003933	37.0	0.0	1.0	0.0	2
HG02562	GWD	African	0.002107	33.0	1.0	0.0	1.0	1
HG02563	UNKNOWN	Other	0.003678	39.0	1.0	0.0	1.0	2
HG02568	GWD	African	0.004652	32.0	1.0	1.0	0.5	2
HG02569	UNKNOWN	Other	0.002736	42.0	2.0	3.0	0.5	2
HG02570	GWD	African	0.002745	41.0	1.0	0.0	1.0	2
HG02571	GWD	African	0.002895	31.0	0.0	0.0	0.0	2
HG02572	UNKNOWN	Other	0.003259	38.0	0.0	0.0	0.0	2
HG02573	GWD	African	0.00479	36.0	1.0	4.0	0.2	2
HG02574	GWD	African	0.002669	42.0	0.0	3.0	0.0	2
HG02575	UNKNOWN	Other	0.003415	37.0	0.0	3.0	0.0	2
HG02577	ACB	African	0.003561	40.0	2.0	5.0	0.3333	2
HG02580	ACB	African	0.000772	22.0	0.0	4.0	0.0	1
HG02582	GWD	African	0.007162	30.0	1.0	3.0	0.25	3
HG02583	GWD	African	0.011237	30.0	1.0	3.0	0.25	4
HG02584	UNKNOWN	Other	0.015812	28.0	1.0	2.0	0.3333	4
HG02585	GWD	African	0.004129	44.0	1.0	1.0	0.5	2
HG02586	GWD	African	0.015958	53.0	0.0	2.0	0.0	4
HG02587	UNKNOWN	Other	0.002755	36.0	1.0	2.0	0.3333	2
HG02588	GWD	African	0.004712	34.0	0.0	0.0	0.0	2
HG02589	GWD	African	0.001536	23.0	0.0	2.0	0.0	1
HG02590	UNKNOWN	Other	0.002078	33.0	0.0	1.0	0.0	1
HG02594	GWD	African	0.00092	44.0	0.0	1.0	0.0	1
HG02595	GWD	African	0.008283	35.0	1.0	1.0	0.5	3
HG02596	UNKNOWN	Other	0.011304	26.0	0.0	2.0	0.0	4
HG02597	PJL	South_Asian	0.014757	20.0	2.0	3.0	0.5	4
HG02600	PJL	South_Asian	0.00635	15.0	0.0	2.0	0.0	3
HG02601	PJL	South_Asian	0.009344	23.0	0.0	1.0	0.0	4
HG02602	UNKNOWN	Other	0.004855	16.0	0.0	3.0	0.0	2
HG02603	PJL	South_Asian	0.016869	22.0	0.0	0.0	0.0	4
HG02604	PJL	South_Asian	0.108267	33.0	0.0	2.0	0.0	4
HG02605	UNKNOWN	Other	0.002195	14.0	0.0	0.0	0.0	1
HG02610	GWD	African	0.005029	29.0	2.0	1.0	1.0	3
HG02611	GWD	African	0.01753	43.0	1.0	7.0	0.125	4
HG02612	UNKNOWN	Other	0.004574	29.0	2.0	1.0	1.0	2
HG02613	GWD	African	0.003385	29.0	1.0	4.0	0.2	2
HG02614	GWD	African	0.001641	20.0	0.0	1.0	0.0	1
HG02615	UNKNOWN	Other	0.006178	19.0	0.0	4.0	0.0	3
HG02620	GWD	African	0.002015	36.0	2.0	4.0	0.4	1
HG02621	GWD	African	0.002966	39.0	0.0	4.0	0.0	2
HG02622	UNKNOWN	Other	0.005434	38.0	1.0	6.0	0.1429	3
HG02623	GWD	African	0.008841	31.0	0.0	1.0	0.0	4
HG02624	GWD	African	0.005274	39.0	1.0	1.0	0.5	3
HG02625	UNKNOWN	Other	0.007287	31.0	0.0	1.0	0.0	3
HG02628	GWD	African	0.006006	47.0	0.0	2.0	0.0	3
HG02629	GWD	African	0.004877	25.0	0.0	2.0	0.0	2
HG02630	UNKNOWN	Other	0.004363	40.0	0.0	4.0	0.0	2
HG02634	GWD	African	0.004453	39.0	0.0	5.0	0.0	2
HG02635	GWD	African	0.002486	38.0	2.0	1.0	1.0	2
HG02636	UNKNOWN	Other	0.007504	41.0	2.0	3.0	0.5	3
HG02642	GWD	African	0.010399	44.0	0.0	1.0	0.0	4
HG02643	GWD	African	0.004574	25.0	0.0	2.0	0.0	2
HG02644	UNKNOWN	Other	0.012876	28.0	0.0	2.0	0.0	4
HG02645	GWD	African	0.003275	22.0	0.0	2.0	0.0	2
HG02646	GWD	African	0.005834	29.0	0.0	0.0	0.0	3
HG02647	UNKNOWN	Other	0.00897	30.0	0.0	1.0	0.0	4
HG02648	PJL	South_Asian	0.063951	20.0	0.0	3.0	0.0	4
HG02649	PJL	South_Asian	0.070313	26.0	0.0	3.0	0.0	4
HG02650	UNKNOWN	Other	0.026984	18.0	0.0	2.0	0.0	4
HG02651	PJL	South_Asian	0.009802	13.0	0.0	0.0	0.0	4
HG02652	PJL	South_Asian	0.005538	21.0	0.0	2.0	0.0	3
HG02653	UNKNOWN	Other	0.010221	12.0	0.0	0.0	0.0	4
HG02654	PJL	South_Asian	0.015172	30.0	0.0	1.0	0.0	4
HG02655	PJL	South_Asian	0.078105	17.0	0.0	0.0	0.0	4
HG02656	UNKNOWN	Other	0.023362	17.0	0.0	0.0	0.0	4
HG02657	PJL	South_Asian	0.006694	23.0	0.0	1.0	0.0	3
HG02658	PJL	South_Asian	0.146412	28.0	1.0	1.0	0.5	4
HG02659	UNKNOWN	Other	0.098291	18.0	1.0	0.0	1.0	4
HG02660	PJL	South_Asian	0.027071	21.0	0.0	2.0	0.0	4
HG02661	PJL	South_Asian	0.011596	21.0	0.0	1.0	0.0	4
HG02662	UNKNOWN	Other	0.01049	25.0	0.0	2.0	0.0	4
HG02666	GWD	African	0.004001	32.0	1.0	2.0	0.3333	2
HG02667	GWD	African	0.056432	47.0	1.0	3.0	0.25	4
HG02668	UNKNOWN	Other	0.004925	37.0	1.0	3.0	0.25	3
HG02675	GWD	African	0.003815	35.0	0.0	2.0	0.0	2
HG02676	GWD	African	0.003676	38.0	0.0	1.0	0.0	2
HG02677	UNKNOWN	Other	0.001597	35.0	0.0	3.0	0.0	1
HG02678	GWD	African	0.047476	29.0	2.0	4.0	0.4	4
HG02679	GWD	African	0.0027	29.0	0.0	1.0	0.0	2
HG02680	UNKNOWN	Other	0.004654	29.0	2.0	2.0	0.6667	2
HG02681	PJL	South_Asian	0.007767	26.0	0.0	0.0	0.0	3
HG02682	PJL	South_Asian	0.014769	19.0	0.0	1.0	0.0	4
HG02683	UNKNOWN	Other	0.105506	13.0	0.0	0.0	0.0	4
HG02684	PJL	South_Asian	0.141423	17.0	0.0	0.0	0.0	4
HG02685	PJL	South_Asian	0.062463	22.0	0.0	1.0	0.0	4
HG02686	UNKNOWN	Other	0.036514	17.0	0.0	0.0	0.0	4
HG02687	PJL	South_Asian	0.015576	39.0	2.0	0.0	2.0	4
HG02688	PJL	South_Asian	0.013734	18.0	0.0	0.0	0.0	4
HG02689	UNKNOWN	Other	0.023112	27.0	2.0	0.0	2.0	4
HG02690	PJL	South_Asian	0.09007	32.0	0.0	1.0	0.0	4
HG02691	PJL	South_Asian	0.02575	25.0	0.0	3.0	0.0	4
HG02692	UNKNOWN	Other	0.094792	15.0	0.0	1.0	0.0	4
HG02694	PJL	South_Asian	0.082613	16.0	0.0	0.0	0.0	4
HG02696	PJL	South_Asian	0.002955	23.0	1.0	0.0	1.0	2
HG02697	PJL	South_Asian	0.011607	24.0	0.0	0.0	0.0	4
HG02698	UNKNOWN	Other	0.00601	18.0	0.0	0.0	0.0	3
HG02699	PJL	South_Asian	0.071309	21.0	0.0	3.0	0.0	4
HG02700	PJL	South_Asian	0.008612	28.0	2.0	1.0	1.0	4
HG02701	UNKNOWN	Other	0.125012	20.0	2.0	2.0	0.6667	4
HG02702	GWD	African	0.002208	31.0	0.0	2.0	0.0	1
HG02703	GWD	African	0.011971	61.0	0.0	5.0	0.0	4
HG02704	UNKNOWN	Other	0.005994	41.0	0.0	3.0	0.0	3
HG02715	GWD	African	0.004038	34.0	0.0	3.0	0.0	2
HG02716	GWD	African	0.002192	44.0	1.0	4.0	0.2	1
HG02717	UNKNOWN	Other	0.003426	39.0	1.0	2.0	0.3333	2
HG02721	GWD	African	0.003854	48.0	0.0	1.0	0.0	2
HG02722	GWD	African	0.002998	37.0	0.0	0.0	0.0	2
HG02723	UNKNOWN	Other	0.002602	26.0	0.0	1.0	0.0	2
HG02724	PJL	South_Asian	0.012886	34.0	1.0	0.0	1.0	4
HG02725	PJL	South_Asian	0.016365	18.0	0.0	1.0	0.0	4
HG02726	UNKNOWN	Other	0.013453	17.0	1.0	0.0	1.0	4
HG02727	PJL	South_Asian	0.017959	27.0	0.0	2.0	0.0	4
HG02728	PJL	South_Asian	0.009676	18.0	2.0	0.0	2.0	4
HG02729	UNKNOWN	Other	0.019882	22.0	2.0	1.0	1.0	4
HG02731	PJL	South_Asian	0.005197	16.0	0.0	1.0	0.0	3
HG02733	PJL	South_Asian	0.014197	29.0	0.0	3.0	0.0	4
HG02734	PJL	South_Asian	0.136443	13.0	0.0	0.0	0.0	4
HG02735	UNKNOWN	Other	0.005043	19.0	0.0	2.0	0.0	3
HG02736	PJL	South_Asian	0.005678	42.0	0.0	2.0	0.0	3
HG02737	PJL	South_Asian	0.004307	37.0	1.0	0.0	1.0	2
HG02738	UNKNOWN	Other	0.018432	26.0	0.0	2.0	0.0	4
HG02756	GWD	African	0.003094	20.0	0.0	3.0	0.0	2
HG02757	GWD	African	0.004108	23.0	0.0	2.0	0.0	2
HG02759	GWD	African	0.055848	36.0	1.0	0.0	1.0	4
HG02760	GWD	African	0.004243	32.0	0.0	4.0	0.0	2
HG02761	UNKNOWN	Other	0.005486	31.0	1.0	4.0	0.2	3
HG02762	UNKNOWN	Other	0.002482	40.0	1.0	2.0	0.3333	2
HG02763	GWD	African	0.047005	59.0	0.0	4.0	0.0	4
HG02764	UNKNOWN	Other	0.01459	37.0	0.0	3.0	0.0	4
HG02768	GWD	African	0.002855	31.0	0.0	5.0	0.0	2
HG02769	GWD	African	0.011571	37.0	1.0	1.0	0.5	4
HG02770	UNKNOWN	Other	0.001013	21.0	1.0	5.0	0.1667	1
HG02771	GWD	African	0.002755	40.0	1.0	1.0	0.5	2
HG02772	GWD	African	0.003951	29.0	1.0	1.0	0.5	2
HG02773	UNKNOWN	Other	0.00476	36.0	1.0	2.0	0.3333	2
HG02774	PJL	South_Asian	0.002655	22.0	0.0	0.0	0.0	2
HG02775	PJL	South_Asian	0.005356	19.0	0.0	2.0	0.0	3
HG02776	UNKNOWN	Other	0.005017	22.0	0.0	2.0	0.0	3
HG02778	PJL	South_Asian	0.009095	27.0	1.0	2.0	0.3333	4
HG02780	PJL	South_Asian	0.036594	15.0	0.0	0.0	0.0	4
HG02783	PJL	South_Asian	0.003636	24.0	1.0	1.0	0.5	2
HG02784	PJL	South_Asian	0.002925	26.0	0.0	0.0	0.0	2
HG02785	UNKNOWN	Other	0.002422	19.0	1.0	0.0	1.0	2
HG02786	PJL	South_Asian	0.008913	27.0	1.0	2.0	0.3333	4
HG02787	PJL	South_Asian	0.003709	20.0	0.0	1.0	0.0	2
HG02788	UNKNOWN	Other	0.004988	23.0	1.0	0.0	1.0	3
HG02789	PJL	South_Asian	0.001885	17.0	0.0	0.0	0.0	1
HG02790	PJL	South_Asian	0.006817	14.0	0.0	0.0	0.0	3
HG02791	UNKNOWN	Other	0.004333	13.0	0.0	0.0	0.0	2
HG02792	PJL	South_Asian	0.002005	18.0	0.0	0.0	0.0	1
HG02793	PJL	South_Asian	0.004972	16.0	0.0	0.0	0.0	3
HG02794	UNKNOWN	Other	0.003261	18.0	0.0	0.0	0.0	2
HG02798	GWD	African	0.007352	40.0	0.0	1.0	0.0	3
HG02799	GWD	African	0.002162	36.0	0.0	2.0	0.0	1
HG02800	UNKNOWN	Other	0.002913	37.0	0.0	2.0	0.0	2
HG02804	GWD	African	0.000844	44.0	2.0	2.0	0.6667	1
HG02805	GWD	African	0.054844	35.0	0.0	0.0	0.0	4
HG02806	UNKNOWN	Other	0.005174	41.0	2.0	0.0	2.0	3
HG02807	GWD	African	0.004301	30.0	0.0	1.0	0.0	2
HG02808	GWD	African	0.026642	25.0	0.0	2.0	0.0	4
HG02809	UNKNOWN	Other	0.004539	20.0	0.0	2.0	0.0	2
HG02810	GWD	African	0.055425	33.0	0.0	2.0	0.0	4
HG02811	GWD	African	0.006303	40.0	0.0	2.0	0.0	3
HG02812	UNKNOWN	Other	0.001488	42.0	0.0	3.0	0.0	1
HG02813	GWD	African	0.002615	45.0	1.0	3.0	0.25	2
HG02814	GWD	African	0.001885	32.0	1.0	2.0	0.3333	1
HG02815	UNKNOWN	Other	0.003065	27.0	1.0	2.0	0.3333	2
HG02816	GWD	African	0.004121	43.0	2.0	3.0	0.5	2
HG02817	GWD	African	0.000817	37.0	1.0	3.0	0.25	1
HG02818	UNKNOWN	Other	0.003099	45.0	2.0	5.0	0.3333	2
HG02819	GWD	African	0.002574	32.0	0.0	1.0	0.0	2
HG02820	GWD	African	0.001327	36.0	2.0	2.0	0.6667	1
HG02821	UNKNOWN	Other	0.00119	36.0	1.0	2.0	0.3333	1
HG02836	GWD	African	0.002416	58.0	1.0	5.0	0.1667	2
HG02837	GWD	African	0.017021	41.0	0.0	4.0	0.0	4
HG02838	UNKNOWN	Other	0.001745	32.0	1.0	6.0	0.1429	1
HG02839	GWD	African	0.002571	44.0	1.0	4.0	0.2	2
HG02840	GWD	African	0.003771	31.0	1.0	2.0	0.3333	2
HG02841	UNKNOWN	Other	0.002603	35.0	1.0	3.0	0.25	2
HG02851	GWD	African	0.000855	26.0	1.0	2.0	0.3333	1
HG02852	GWD	African	0.003018	41.0	1.0	5.0	0.1667	2
HG02853	UNKNOWN	Other	0.000367	40.0	1.0	5.0	0.1667	1
HG02854	GWD	African	0.000441	29.0	2.0	1.0	1.0	1
HG02855	GWD	African	0.001775	30.0	0.0	1.0	0.0	1
HG02856	UNKNOWN	Other	0.003911	33.0	0.0	2.0	0.0	2
HG02860	GWD	African	0.003033	39.0	1.0	3.0	0.25	2
HG02861	GWD	African	0.002935	26.0	0.0	0.0	0.0	2
HG02862	UNKNOWN	Other	0.00107	30.0	0.0	2.0	0.0	1
HG02869	UNKNOWN	Other	0.001523	33.0	1.0	3.0	0.25	1
HG02870	GWD	African	0.003153	29.0	0.0	2.0	0.0	2
HG02871	UNKNOWN	Other	0.001786	29.0	1.0	4.0	0.2	1
HG02878	GWD	African	0.001128	24.0	2.0	2.0	0.6667	1
HG02879	GWD	African	0.004688	32.0	2.0	3.0	0.5	2
HG02880	UNKNOWN	Other	0.001971	23.0	2.0	2.0	0.6667	1
HG02881	GWD	African	0.008499	34.0	0.0	1.0	0.0	3
HG02882	GWD	African	0.003173	50.0	1.0	1.0	0.5	2
HG02883	UNKNOWN	Other	0.000397	33.0	0.0	1.0	0.0	1
HG02884	GWD	African	0.001172	39.0	0.0	3.0	0.0	1
HG02885	GWD	African	0.000727	41.0	0.0	4.0	0.0	1
HG02886	UNKNOWN	Other	0.003344	34.0	0.0	1.0	0.0	2
HG02887	GWD	African	0.002238	25.0	0.0	1.0	0.0	1
HG02888	GWD	African	0.000782	41.0	0.0	1.0	0.0	1
HG02889	UNKNOWN	Other	0.003152	29.0	0.0	0.0	0.0	2
HG02890	GWD	African	0.001502	23.0	0.0	1.0	0.0	1
HG02891	GWD	African	0.00075	56.0	1.0	2.0	0.3333	1
HG02892	UNKNOWN	Other	0.00274	23.0	1.0	1.0	0.5	2
HG02895	GWD	African	0.004998	45.0	0.0	2.0	0.0	3
HG02896	GWD	African	0.008875	29.0	1.0	1.0	0.5	4
HG02897	UNKNOWN	Other	0.014145	30.0	1.0	2.0	0.3333	4
HG02922	ESN	African	0.003734	31.0	0.0	3.0	0.0	2
HG02923	ESN	African	0.007252	22.0	1.0	1.0	0.5	3
HG02924	UNKNOWN	Other	0.00755	21.0	1.0	2.0	0.3333	3
HG02938	ESN	African	0.006669	23.0	1.0	2.0	0.3333	3
HG02941	ESN	African	0.003226	32.0	1.0	2.0	0.3333	2
HG02943	ESN	African	0.004293	30.0	1.0	2.0	0.3333	2
HG02944	ESN	African	0.003888	44.0	1.0	3.0	0.25	2
HG02945	UNKNOWN	Other	0.005843	30.0	0.0	3.0	0.0	3
HG02946	ESN	African	0.004249	41.0	2.0	6.0	0.2857	2
HG02947	ESN	African	0.001439	33.0	1.0	0.0	1.0	1
HG02948	UNKNOWN	Other	0.00213	26.0	2.0	2.0	0.6667	1
HG02952	ESN	African	0.004185	35.0	0.0	1.0	0.0	2
HG02953	ESN	African	0.002872	41.0	0.0	3.0	0.0	2
HG02954	UNKNOWN	Other	0.007147	36.0	0.0	0.0	0.0	3
HG02964	UNKNOWN	Other	0.006938	43.0	0.0	3.0	0.0	3
HG02965	UNKNOWN	Other	0.004968	38.0	0.0	4.0	0.0	3
HG02966	UNKNOWN	Other	0.007352	34.0	0.0	3.0	0.0	3
HG02968	ESN	African	0.003725	47.0	1.0	5.0	0.1667	2
HG02970	ESN	African	0.006592	33.0	0.0	0.0	0.0	3
HG02971	ESN	African	0.005628	39.0	1.0	4.0	0.2	3
HG02972	UNKNOWN	Other	0.00431	40.0	1.0	1.0	0.5	2
HG02973	ESN	African	0.004946	37.0	1.0	1.0	0.5	3
HG02974	ESN	African	0.003729	43.0	0.0	3.0	0.0	2
HG02975	UNKNOWN	Other	0.002844	26.0	1.0	2.0	0.3333	2
HG02976	ESN	African	0.00356	33.0	0.0	2.0	0.0	2
HG02977	ESN	African	0.008197	26.0	2.0	1.0	1.0	3
HG02978	UNKNOWN	Other	0.00772	21.0	1.0	1.0	0.5	3
HG02979	ESN	African	0.012055	37.0	1.0	2.0	0.3333	4
HG02980	UNKNOWN	Other	0.003862	20.0	0.0	1.0	0.0	2
HG02981	ESN	African	0.004355	18.0	0.0	2.0	0.0	2
HG02982	GWD	African	0.000853	30.0	0.0	2.0	0.0	1
HG02983	GWD	African	0.000547	19.0	0.0	1.0	0.0	1
HG02984	UNKNOWN	Other	0.00195	21.0	0.0	2.0	0.0	1
HG03006	BEB	South_Asian	0.006525	22.0	2.0	1.0	1.0	3
HG03007	BEB	South_Asian	0.019917	26.0	0.0	1.0	0.0	4
HG03008	UNKNOWN	Other	0.003429	21.0	1.0	1.0	0.5	2
HG03009	BEB	South_Asian	0.003247	18.0	0.0	0.0	0.0	2
HG03012	BEB	South_Asian	0.005667	30.0	0.0	1.0	0.0	3
HG03015	PJL	South_Asian	0.004452	12.0	0.0	1.0	0.0	2
HG03016	PJL	South_Asian	0.003001	23.0	1.0	0.0	1.0	2
HG03017	UNKNOWN	Other	0.002881	16.0	0.0	0.0	0.0	2
HG03018	PJL	South_Asian	0.003377	26.0	0.0	0.0	0.0	2
HG03019	PJL	South_Asian	0.010568	29.0	0.0	2.0	0.0	4
HG03021	PJL	South_Asian	0.002855	20.0	0.0	3.0	0.0	2
HG03022	PJL	South_Asian	0.033196	15.0	0.0	1.0	0.0	4
HG03024	GWD	African	0.000832	36.0	1.0	2.0	0.3333	1
HG03025	GWD	African	0.000709	25.0	0.0	2.0	0.0	1
HG03026	UNKNOWN	Other	0.002837	36.0	0.0	4.0	0.0	2
HG03027	GWD	African	0.001273	35.0	1.0	2.0	0.3333	1
HG03028	GWD	African	0.004877	30.0	1.0	2.0	0.3333	2
HG03029	UNKNOWN	Other	0.00041	26.0	1.0	2.0	0.3333	1
HG03033	UNKNOWN	Other	0.000433	30.0	0.0	2.0	0.0	1
HG03034	UNKNOWN	Other	0.002548	34.0	0.0	3.0	0.0	2
HG03035	UNKNOWN	Other	0.02531	29.0	0.0	4.0	0.0	4
HG03039	GWD	African	0.000759	40.0	0.0	2.0	0.0	1
HG03040	GWD	African	0.001956	28.0	0.0	1.0	0.0	1
HG03041	UNKNOWN	Other	0.002431	37.0	0.0	2.0	0.0	2
HG03045	GWD	African	0.000926	29.0	0.0	3.0	0.0	1
HG03046	GWD	African	0.00102	26.0	1.0	1.0	0.5	1
HG03047	UNKNOWN	Other	0.002838	27.0	0.0	3.0	0.0	2
HG03048	GWD	African	0.000788	53.0	0.0	2.0	0.0	1
HG03049	GWD	African	0.000499	37.0	1.0	5.0	0.1667	1
HG03050	UNKNOWN	Other	0.000457	40.0	1.0	3.0	0.25	1
HG03052	MSL	African	0.003624	31.0	0.0	2.0	0.0	2
HG03054	MSL	African	0.010048	41.0	0.0	1.0	0.0	4
HG03055	MSL	African	0.001533	44.0	1.0	3.0	0.25	1
HG03056	UNKNOWN	Other	0.006106	42.0	1.0	3.0	0.25	3
HG03057	MSL	African	0.004811	46.0	1.0	0.0	1.0	2
HG03058	MSL	African	0.002384	34.0	0.0	4.0	0.0	1
HG03060	MSL	African	0.003258	31.0	2.0	2.0	0.6667	2
HG03061	MSL	African	0.003885	32.0	1.0	0.0	1.0	2
HG03063	MSL	African	0.004811	25.0	0.0	2.0	0.0	2
HG03064	MSL	African	0.004215	43.0	0.0	2.0	0.0	2
HG03065	UNKNOWN	Other	0.00296	34.0	0.0	2.0	0.0	2
HG03066	MSL	African	0.00108	32.0	0.0	2.0	0.0	1
HG03069	MSL	African	0.001669	51.0	0.0	3.0	0.0	1
HG03072	MSL	African	0.003582	36.0	0.0	3.0	0.0	2
HG03073	MSL	African	0.002572	41.0	1.0	1.0	0.5	2
HG03074	MSL	African	0.006067	30.0	0.0	0.0	0.0	3
HG03077	MSL	African	0.003362	36.0	0.0	4.0	0.0	2
HG03078	MSL	African	0.004173	41.0	2.0	4.0	0.4	2
HG03079	MSL	African	0.002532	36.0	0.0	0.0	0.0	2
HG03081	MSL	African	0.002543	29.0	1.0	3.0	0.25	2
HG03082	MSL	African	0.004525	36.0	0.0	1.0	0.0	2
HG03084	MSL	African	0.004113	48.0	0.0	3.0	0.0	2
HG03085	MSL	African	0.001514	30.0	2.0	1.0	1.0	1
HG03086	MSL	African	0.002853	36.0	0.0	4.0	0.0	2
HG03088	MSL	African	0.002229	47.0	1.0	4.0	0.2	1
HG03091	MSL	African	0.001362	37.0	0.0	3.0	0.0	1
HG03095	MSL	African	0.003453	27.0	0.0	2.0	0.0	2
HG03096	MSL	African	0.001205	48.0	1.0	0.0	1.0	1
HG03097	MSL	African	0.003731	37.0	2.0	2.0	0.6667	2
HG03098	UNKNOWN	Other	0.0053	30.0	1.0	2.0	0.3333	3
HG03099	ESN	African	0.009432	44.0	0.0	2.0	0.0	4
HG03100	ESN	African	0.005238	34.0	1.0	4.0	0.2	3
HG03101	UNKNOWN	Other	0.010161	32.0	0.0	3.0	0.0	4
HG03103	ESN	African	0.010557	38.0	0.0	3.0	0.0	4
HG03105	ESN	African	0.008235	39.0	1.0	3.0	0.25	3
HG03108	ESN	African	0.004926	28.0	1.0	3.0	0.25	3
HG03109	ESN	African	0.003111	41.0	0.0	0.0	0.0	2
HG03110	UNKNOWN	Other	0.007693	31.0	1.0	2.0	0.3333	3
HG03111	ESN	African	0.008712	50.0	0.0	4.0	0.0	4
HG03112	ESN	African	0.004503	40.0	1.0	2.0	0.3333	2
HG03113	UNKNOWN	Other	0.007702	38.0	0.0	2.0	0.0	3
HG03114	ESN	African	0.01113	40.0	2.0	1.0	1.0	4
HG03115	ESN	African	0.005205	30.0	2.0	0.0	2.0	3
HG03116	UNKNOWN	Other	0.010865	32.0	0.0	1.0	0.0	4
HG03117	ESN	African	0.002688	36.0	2.0	3.0	0.5	2
HG03118	ESN	African	0.003125	30.0	1.0	1.0	0.5	2
HG03119	UNKNOWN	Other	0.008127	28.0	1.0	2.0	0.3333	3
HG03120	ESN	African	0.003501	39.0	0.0	1.0	0.0	2
HG03121	ESN	African	0.006643	18.0	0.0	1.0	0.0	3
HG03122	UNKNOWN	Other	0.004598	29.0	0.0	2.0	0.0	2
HG03123	ESN	African	0.005197	30.0	1.0	3.0	0.25	3
